,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Airport Market Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Airport Market Station,56주,공항시장역맛집,첫번째집순대국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Airport Market Station,83주,방화동고기집,박씨네돼지김치구이,돼지김치구이,방화동삼겹살,방화동회식,공항시장역맛집,방화동맛집,방화동술집,방화동돼지김치구이,맛집투어,맛스타그램,맛집,먹그램,회식장소,모임장소,삼겹살맛집,,,,,,,,,,,,,,,,
3,Airport Market Station,19주,텐야,텐야텐동,공항시장역맛집,텐동맛집,에비카레라이스,에비텐동,방화동텐동,먹부림,인친소통,선팔맞팔,덧글반사,,,,,,,,,,,,,,,,,,,,,
4,Airport Market Station,0주,콩국수,공항시장역맛집,먹스타맞팔,먹스타그램,먹방,먹스타그램촵촵,맛스타그램,확찐자의길,확찐자,,,,,,,,,,,,,,,,,,,,,,,
5,Airport Market Station,59주,돼지김치구이,박씨네돼지김치구이,삼겹살돼지김치구이,옷에고기냄새안나요,고기냄새걱정없음,돼지김치구이존맛탱,돼지김치구이ZMT,방화동고기집,방화동삼겹살,방화동회식,방화동맛집,방화동술집,공항시장역맛집,신방화역맛집,김포공항맛집,맛집투어,맛집,맛집그램,방화동맛집투어,강서구맛집,강서구고기집,맛스타그램,먹스타그램,친구모임,저녁모임,회식장소,삼겹살,고기가맛있는집,방화동돼지김치구이,국내산녹차암퇘지,,
6,Airport Market Station,165주,남다른감자탕,김포공항맛집,방화동맛집,공항시장역맛집,서울맛집,감자탕맛집,대한민국맛집,서울감자탕,감자탕맛있다,맛집투어,서울맛집투어,가족모임장소,가족모임장소추천,단체모임장소,일상,맛집,생생정보통,중국여행객,,,,,,,,,,,,,,
7,Airport Market Station,57주,돼지김치구이,박씨네돼지김치구이,삼겹살돼지김치구이,옷에고기냄새안나요,고기냄새걱정없음,돼지김치구이존맛탱,돼지김치구이ZMT,방화동고기집,방화동삼겹살,방화동회식,방화동맛집,방화동술집,공항시장역맛집,신방화역맛집,김포공항맛집,맛집투어,맛집,맛집그램,방화동맛집투어,강서구맛집,강서구고기집,맛스타그램,먹스타그램,친구모임,저녁모임,회식장소,삼겹살,고기가맛있는집,방화동돼지김치구이,국내산녹차암퇘지,,
8,Airport Market Station,87주,오래된맛집,공항동맛집투어,오늘은횟집,맛집리스트,저장완료,돌멍게주,멍게향가득,마셔도안취함,맛집스타그램,먹스타그램,푸드스타그램,외식스타그램,퇴근후,횟집추천,돌멍게,돌멍게주,회스타그램,자연산회,제주자연산회,송정맛집,송정역맛집,공항시장역맛집,공항역맛집,공항동맛집,공항동횟집,더덕주,둘이알콩달콩,신혼스타그램,퇴근후한잔,외식스타그램,찾아가기힘드네,역시맛집
9,Airport Market Station,0주,숯불치킨,숯불바베큐치킨,기름기쏙뺀,고소한맛,껍질이맛있다,송정역근처맛집,공항시장역맛집,소맥한잔,대포한잔,,,,,,,,,,,,,,,,,,,,,,,
