,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Dongjak Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dongjak Station,34주,아이언펍,ironpub,구반포맛집,구반포역맛집,먹스타그램,맛스타그램,맥주스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
2,Dongjak Station,9주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dongjak Station,193주,파스타,일상스타그램,먹스타그램예신스타그램,주말스타그램,친스타그램,먹방,파스타,파스타맛집,동작역맛집,동작대교,데이트코스,동작대교노을카페,동작역까페,동작노을카페,일요일브런치,일상,데일리,예신,파스타가기대이상으로굿,데이트하기좋는곳,저녁에남친과,,,,,,,,,
4,Dongjak Station,34주,아이언펍,ironpub,구반포역맛집,구반포맛집,먹스타그램,맛스타그램,맥주스타그램,아이언펍메뉴,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,
5,Dongjak Station,31주,아이언펍,ironpub,구반포역맛집,아이언키친,구반포맛집,동작역맛집,중앙대맛집,흑석동맛집,먹스타그램,맛스타그램,맥주한잔할만한곳,동작역맛집,화끈한화요일,퐈이야,,,,,,,,,,,,,,,,
6,Dongjak Station,65주,디저트맛집,브런치맛집,dessert,brunch,방배동맛집,동작역맛집,카페람베리,미슐랭맛집,미슐랭스타,새우아보카도,크로크마담,3단트레이,,,,,,,,,,,,,,,,,,
7,Dongjak Station,32주,아이언펍,인싸그램,연예인,현아누나,미쓰코리아의위엄,응원할께누나,구반포맛집,구반포역맛집,먹스타그램,맛스타그램,밥은먹고다니냐,동작역맛집,ironpub,흑석동맛집,중대맛집,중앙대맛집,아이언키친,연예인들의아지트,테그부자,동안의아이콘,,,,,,,,,,
8,Dongjak Station,33주,아이언펍,ironpub,마술공연,많이드세요,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,먹스타그램,맛스타그램,잇츠쇼타임,공연스타그램,마술스타그램,,,,,,,,
9,Dongjak Station,0주,슬기로운코로나생활,폭염주의보,마스크착용,덥다,숨을쉴수가없어,생활맥주구반포역,데일리비어,구반포맛집,반포맛집,반포맥주맛집,카페골목맛집,방배맛집,동작역맛집,수제맥주,크래프트비어,,,,,,,,,,,,,,,
10,Dongjak Station,0주,오늘의달,오늘밤하늘,보름달,붉은달,달,스트로베리문,6월의달,구반포역,1번출구,생활맥주,데일리비어,수제맥주집,구반포맛집,반포맛집,카페골목맛집,방배맛집,동작역맛집,moon,strawberrymoon,,,,,,,,,,,
11,Dongjak Station,14주,아이언펍,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,흑석동맛집,아이언키친,패밀리레스토랑,펍,,,,,,,
12,Dongjak Station,15주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크레프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,흑석동맛집,아이언키친,,,,,,,,,,,,,,,,,
13,Dongjak Station,15주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,흑석동맛집,아이언키친,,,,,,,,,,,,,,,,
14,Dongjak Station,17주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍2호점,흑석동맛집,아이언키친3호점,,,,,,,,,,,,,,,,
