,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Eonju Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Eonju Station,24주,논현역맛집,논현맛집,영동시장맛집,강남훠궈,논현배달맛집,반포맛집,학동역맛집,언주역맛집,삼성동맛집,서초맛집,서초동맛집,문복희,타오타이랑,,,,,,,,,,,,,,,,,,,
2,Eonju Station,30주,신논현맛집,신논현역맛집,언주역맛집,강남회식장소,신논현회식장소,신논현단체모임,강남맛집,강남역맛집,신논현역회식장소,신논현역단체모임,강남역회식장소,태인양꼬치신논현점,주택레스토랑,디렉터스커피,애크미마카롱,삼육가논현점,천진영감,어랑생선밥상,,,,,,,,,,,,,,
3,Eonju Station,37주,진대감논현본점,이영자맛집,차돌삼합,강남맛집,논현동맛집,학동역맛집,언주역맛집,강남구청역맛집,강남구청맛집,학동맛집,선정릉역맛집,강남구청역회식,논현동회식,강남구청회식,좋반,소통,,,,,,,,,,,,,,,,
4,Eonju Station,3주,마이니치라멘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Eonju Station,0주,강남술집,강남핫플,언주역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Eonju Station,11주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Eonju Station,30주,마이니치라멘,언주역,언주역맛집,학동역,학동역맛집,논현동,논현동맛집,라멘,일본라멘,강남라멘,쇼유라멘,아부라소바,토리파이탄,마라탄탄멘,시오라멘,ramen,매일먹고싶은라멘,라멘만세,그래도마이웨이,화이팅,,,,,,,,,,,,
8,Eonju Station,0주,논현동맛집,논현맛집,논현동,언주역,언주역맛집,강남,강남맛집,강남라멘,마이니치라멘,ramen,jmt,,,,,,,,,,,,,,,,,,,,,
9,Eonju Station,0주,토리아에즈언주점,언주역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Eonju Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Eonju Station,0주,꽃나잇,르누보플라워,르누보플라워스튜디오,강남,신논현,논현동,언주역,언주역맛집,감성사진,감성꽃집,프렌치플라워,꽃작업실,,,,,,,,,,,,,,,,,,,,
12,Eonju Station,0주,토리아에즈언주점,언주역맛집,꼬치,산토리하이볼,술스타그램,명란구이,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Eonju Station,0주,강남플라워레슨,강남플라워클래스,신논현꽃집,강남꽃집,청담동꽃집,역삼동꽃집,강남역,신논현,가로수길,언주역맛집,언주역카페,,,,,,,,,,,,,,,,,,,,,
