,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Express Bus Terminal Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Express Bus Terminal Station,37주,곱창전골,일번지육개장,고속터미널맛집,고속터미널역맛집,고터맛집,고터지하상가,낙지곱창전골,육개장,반포맛집,반포한강공원,,,,,,,,,,,,,,,,,,,,,,,
2,Express Bus Terminal Station,20주,고터맛집,소이연남,다름,고속터미널맛집,고속터미널역맛집,파미에스테이션맛집,파미에스테이션,센트럴시티맛집,쌀국수맛집,,,,,,,,,,,,,,,,,,,,,,,,
3,Express Bus Terminal Station,49주,무월식탁,고속터미널역맛집,고터맛집,파미에스테이션,파미에스테이션맛집,강남맛집,군침도는남자,먹스타그램,먹스타,서울맛집,군침이돌아용,,,,,,,,,,,,,,,,,,,,,,
4,Express Bus Terminal Station,67주,연안식당,연안식당반포삼호가든점,고속터미널역맛집,고속터미널맛집,반포동맛집,반포맛집,서초맛집,서초구맛집,서초동맛집,꼬막비빔밥,해물뚝배기,JMT,꼬막,해산물,연안식당꼬막비빔밥,연안식당해물뚝배기,,,,,,,,,,,,,,,,,
5,Express Bus Terminal Station,50주,면주방,강남맛집,고속터미널맛집,강남터미널맛집,고속터미널역맛집,고속터미널한식,강남한식,군침도는남자,강남데이트,먹스타그램,고터맛집,,,,,,,,,,,,,,,,,,,,,,
6,Express Bus Terminal Station,23주,차알,파미에스테이션맛집,파미에스테이션,파미에맛집,famillestation,famillestreet,고속터미널역맛집,고터맛집,차돌마라탕,가지튀김맛집,밀감,,,,,,,,,,,,,,,,,,,,,,
7,Express Bus Terminal Station,195주,맛있는사진,파미에스테이션맛집,고터맛집,고속터미널역맛집,뇨끼,크림뇨끼,그라노,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Express Bus Terminal Station,70주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Express Bus Terminal Station,0주,고속터미널역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Express Bus Terminal Station,0주,데블스도어,강남맛집,고속터미널,고속터미널맛집,고속터미널역맛집,맥주,분위기맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Express Bus Terminal Station,0주,맛집,치킨맛집,고터맛집,고속터미널맛집,고터치킨,고속터미널치킨,고터치킨맛집,고터호프,호프,고속터미널호프,고속터미널역맛집,고속터미널역호프,고속터미널역야식,고터야식,고속터미널야식,맥주맛집,야미또치킨,야미또치킨고속터미널,야미또치킨고속터미널점,고터치킨집,고속터미널역치킨,골뱅이맛집,고터닭강정,고터술집,고속터미널술집,고속터미널역술집,야식,반포치킨,한강치킨,반포치킨맛집,,,
15,Express Bus Terminal Station,0주,센트럴시티,센트럴시티맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Express Bus Terminal Station,0주,2020년6월5일금요일,고속터미널역,고속터미널역맛집,육각고기반포점,쓰리버스센트럴시티점,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Express Bus Terminal Station,0주,공씨맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Express Bus Terminal Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Express Bus Terminal Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Express Bus Terminal Station,1주,샤브샤브,고기와야채를한번에,고속터미널역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Express Bus Terminal Station,1주,신세계백화점강남점,점심식사,고속터미널,점심메뉴,돈까스,101번지남산돈까스,고속터미널맛집,고속터미널역맛집,센트럴시티맛집,수제돈까스,치즈돈까스,왕돈까스,돈까스맛집,점심추천메뉴,맛집그램,맛집투어,맛집추천,먹방,먹스타그램,먹방스타그램,일상,일상소통,지니공방,,,,,,,,,,
