,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Gaehwa Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gaehwa Station,86주,사모님짬뽕,김포공항맛집,개화역맛집,군만두,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gaehwa Station,154주,개화역맛집,맛집,장어,구이,개화역,개화산장,흑염소,여름,몸보신,건강,레몬쿠폰,이노푸드코리아,쿠스몰,,,,,,,,,,,,,,,,,,
3,Gaehwa Station,66주,cafematilda,카페마틸다,브런치카페,건강한브런치,방화동카패,방화동브런치,brunchcafe,healthyfood,제주감귤주스,패션후르츠주스,치아바타,dailyinsta,daily,daybyday,개화역맛집,개화역,eslteachersofinstagram,teachersofinstagram,먹방,먹스타그램,,,,,,,,,,,
4,Gaehwa Station,90주,일품사천불짬뽕,방화동맛집,개화역맛집,불짬뽕,불짬뽕,많이맵게해주세요,해산물신선,채소아삭아삭,국물겁니매움,,,,,,,,,,,,,,,,,,,,,,
5,Gaehwa Station,38주,신교령사골순대국,김포공항,계양구,개화역,김포공항맛집,계양구맛집,개화역맛집,순대국맛집,신교령사골순대국,신교령사골순대국본점,술국,소머리국밥,계양맛집,술안주,인천맛집,소주,소주한잔,공항맛집,인천공항,맛집,한식,,,,,,,,,,
6,Gaehwa Station,113주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gaehwa Station,81주,수능,중학교,휴교,구내식당,점심메뉴,호박죽,생선까스,무생채,미역줄지,백김치,콩나물밥,개화역맛집,USB,일상,9호선,개화역,본사,초대,초청,메트로9호선,급행열차,일반열차,지하철,평일,,,,,,,
8,Gaehwa Station,30주,마지막만찬,제일한우촌,간장게장,뭘봤는지기억안남,개화동맛집,김포공항맛집,개화역맛집,고기스타그램,강서구맛집,소고기,간장게장,제일한우촌,제일한우촌간장게장,등심,차돌박이,된장찌개,jmtgr,다음엔술과함께오자고,다짐,내일부터,일스타그램,시작이니까,소고기맛집,게장맛집,고기는사랑입니다,주말끝,휴일끝,먹방,먹스타그램,맛집찾기,취미생활
9,Gaehwa Station,24주,개화역맛집,명동찌개마을,개화점,양푼돼지김치찌개,클라스,봉사활동,뒷풀이중,,,,,,,,,,,,,,,,,,,,,,,,
10,Gaehwa Station,25주,신교령사골순대국,김포공항맛집,김포공항순대국,순대국,개화역순대국,개화역맛집,모둠순대,순대,순대맛집,,,,,,,,,,,,,,,,,,,,,,
11,Gaehwa Station,57주,애드펌킨로지,애드펌킨,인기게시물,인스타광고,부천맛집,송내맛집,소사맛집,중동맛집,역곡맛집,구로맛집,신도림맛집,온수역맛집,오류동맛집,김포공항맛집,인천공항맛집,개화역맛집,송정맛집,등촌역맛집,등촌동맛집,목동맛집,마곡맛집,발산맛집,영등포맛집,파주맛집,와동동꽃집,와동동네일,와동동맛집,와동동속눈썹,,,
12,Gaehwa Station,168주,매콤한크림짬뽕,핵맛,다다불백,다다테이블,크림짬뽕,개화역맛집,개화산술집,맛스타그램,요리스타그램,요리하는남자,,,,,,,,,,,,,,,,,,,,,
13,Gaehwa Station,168주,해물누룽지탕,개화역맛집,다다테이블,다다불백,개화산술집,술집,요리스타그램,맛스타그램,,,,,,,,,,,,,,,,,,,,,,,
14,Gaehwa Station,168주,새우튀김,다다불백,다다테이블,개화산역,개화역맛집,개화산역술집,불백맛집,직화돼지불백,단체환영,요리스타그램,맛스타그램,요리하는남자,,,,,,,,,,,,,,,,,,,
15,Gaehwa Station,168주,다다불백,다다테이블,개화산역,명태조림,해물조림,개화역맛집,개화산술집,맛스타그램,요리스타그램,,,,,,,,,,,,,,,,,,,,,,
16,Gaehwa Station,185주,다다불백,방화동맛집,직화돼지불백,직화돼지불고기,개화역맛집,해물순두부짬뽕전골,맛스타그램,요리스타그램,술,술안주용,개화산역술집,,,,,,,,,,,,,,,,,,,,
17,Gaehwa Station,185주,무생채,부추,다다불백,방화동,방화동맛집,개화산역,개화역맛집,직화돼지불백,비빔밥,돼디불고기비빔밥,요리스타그램,맛스타그램,,,,,,,,,,,,,,,,,,,
18,Gaehwa Station,185주,직화돼지불백,방화,방화동맛집,개화역맛집,개화산랜드맞은편,다다불백,다다테이블,술집,술안주용,요리스타그램,맛스타그램,,,,,,,,,,,,,,,,,,,,
19,Gaehwa Station,185주,트리액자,크리스마스,크리스마스트리,크리스마스트리액자,다다불백,직화불고기,방화동맛집,방화동,개화역맛집,개화산랜드맞은편,,,,,,,,,,,,,,,,,,,,,
20,Gaehwa Station,188주,오늘저녁,치히로,개화역,쭈꾸미집에서,개화역맛집,쭉삼,쭈꾸미,새우쭈꾸미,새우,날치알볶음밥,저녁,외식,저녁메뉴,,,,,,,,,,,,,,,,,,
21,Gaehwa Station,190주,식혜,맛있다,다다불백,방화동,방화동맛집,개화역맛집,맛스타그램,요리스타그램,,,,,,,,,,,,,,,,,,,,,,,
22,Gaehwa Station,192주,백년의고독,하이볼,앉은뱅이술,맛이미쳤어,사장님은목각의달인,인생술집발견,개화역맛집,,,,,,,,,,,,,,,,,,,,,,,,
