,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Gayang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gayang Station,35주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gayang Station,59주,접시고기,접시고기,제주고기,강서구청맛집,화곡동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gayang Station,67주,카페1층102호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gayang Station,65주,가양역맛집,강서구맛집,등촌역맛집,쩜순이네아구찜,가양역,등촌역,등촌동,대구뽈찜,아구찜맛집,강서구,발산역,증미역,가양동맛집,등촌동맛집,롯데시네마가양점,강서구청,,,,,,,,,,,,,,,
5,Gayang Station,13주,가양역맛집,강서구맛집,더족발가양점,강서구족발,족발맛집,food,dinner,delicious,jmt,,,,,,,,,,,,,,,,,,,,,,
6,Gayang Station,53주,야식,야식스타그램,엽떡,중국당면,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gayang Station,69주,고향옥,일산맛집,인계동맛집,가양동맛집,가양역맛집,파주맛집,풍무맛집,구래맛집,청라맛집,벨라시타맛집,식사동맛집,인계동밥집,인계동술집,,,,,,,,,,,,,,,,,,
8,Gayang Station,35주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gayang Station,0주,목동맛집,목동역맛집,목동참치,등촌동맛집,등촌역맛집,등촌동참치,가양동맛집,가양역맛집,가양동참치,송정역맛집,송정역참치,화곡동맛집,화곡역맛집,화곡동참치,우장산맛집,우장산참치,방화동맛집,방화동참치,신방화맛집,양천향교맛집,양천향교역맛집,김포맛집,강서구맛집,발산맛집참치예담,마곡맛집참치예담,발산,마곡,마곡나루역,마곡나루,참치예담,
10,Gayang Station,0주,비에뜨반미,가양역맛집,가양역디저트,반미추천,생크림바게트,디저트추천,디저트맛집,우유생크림,생크림빵,,,,,,,,,,,,,,,,,,,,,,
11,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,화요일,상암맛집,셀스타그램,양천구맛집,신월동맛집,방화동맛집,강서구,강서구맛집,마곡맛집,염창역맛집,,,,,,,
12,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,화요일,상암맛집,셀스타그램,양천구맛집,신월동맛집,방화동맛집,강서구,강서구맛집,마곡맛집,염창역맛집,,,,,,,
13,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,화요일,상암맛집,셀스타그램,양천구맛집,신월동맛집,방화동맛집,강서구,강서구맛집,마곡맛집,염창역맛집,,,,,,,
14,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,화요일,상암맛집,셀스타그램,양천구맛집,신월동맛집,방화동맛집,강서구,강서구맛집,마곡맛집,염창역맛집,,,,,,,
15,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,화요일,상암맛집,셀스타그램,양천구맛집,신월동맛집,방화동맛집,강서구,강서구맛집,마곡맛집,염창역맛집,,,,,,,
16,Gayang Station,0주,빛나러,프로필링크클릭,첫줄,증미역만집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,화요일,상암맛집,셀스타그램,양천구맛집,신월동맛집,방화동맛집,강서구,강서구맛집,마곡맛집,염창역맛집,,,,,,,
17,Gayang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gayang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gayang Station,0주,다래정연탄불생고기,양천향교역맛집,맛스타맞팔,먹스타맞팔,맛스타그램,먹스타그램,가양역맛집,마곡맛집,강서구맛집,,,,,,,,,,,,,,,,,,,,,,
20,Gayang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
