,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Gimpo Airport Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gimpo Airport Station,37주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gimpo Airport Station,44주,안스베이커리,버터프레첼,제주도마늘바게트,mukgoing,mukgoing,빵스타그램,빵순이,빵투어,프레첼,마늘바게트,김포공항롯데몰,김포공항맛집,김포공항역맛집,롯데몰맛집,김포공항롯데몰맛집,먹스타그램,맛스타그램,,,,,,,,,,,,,,
3,Gimpo Airport Station,173주,김포공항맛집,티지아이프라이데이,티지아이,김포공항역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gimpo Airport Station,86주,공항시장역,갈비,공항시장역맛집,우리도한번잘구워보세,잘구워보세,강서구맛집,김포공항역맛집,김포공항맛집,맛스타그램,먹스타그램,,,,,,,,,,,,,,,,,,,,,
5,Gimpo Airport Station,43주,californiapizzakitchen,waldorfsalad,agliooilo,김포공항역맛집,캘리포니아피자치킨,피자맛집,자카르타에서,그리운자카르타,pizza,delicious,yummy,,,,,,,,,,,,,,,,,,,,
6,Gimpo Airport Station,35주,조심조심,데어리퀸,데어리퀸아이스크림,블리자드,무중력아이스크림,블리자드오레오,김포공항역맛집,김포롯데몰맛집,아이스크림맛집,데어리퀸김포공항점,,,,,,,,,,,,,,,,,,,,,
7,Gimpo Airport Station,91주,김포공항역맛집,송정역맛집,공항시장역맛집,공항칼국수,가성비갑,서민분위기,해장하기좋은음식,존맛,내장버섯칼국수,칼국수맛집,밥비벼먹을때,5개월차예비맘이랑,17년지기친구들,,,,,,,,,,,,,,,,,,
8,Gimpo Airport Station,83주,봉추찜닭,찜닭,김포공항,김포공항롯데몰,김포공항맛집,김포공항역맛집,김포맛집,롯데몰,롯데몰맛집,김포공항봉추찜닭,,,,,,,,,,,,,,,,,,,,,
9,Gimpo Airport Station,0주,사보텐,돈까스,쿨세트,cool,새우,돼지,치즈,등심,샐러드,유자소스,새콤맛있,미트볼,김포공항맛집,김포공항역맛집,롯데몰맛집,,,,,,,,,,,,,,,,
10,Gimpo Airport Station,3주,첫줄,애슐리,애슐리퀸즈,애슐리굿즈,애슐리퀸즈김포공항점,블로그체험단,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gimpo Airport Station,16주,옆으로넘겨보기,김포공항역맛집,김포공항역,빵맛집,최애메뉴,빵,오늘뭐먹지,추천,더베이크,thebake,김포빵집,커피,카페,빵집,냄새,선팔맞팔,냠냠,맛집,맛집강추,인생맛집,세종미디어그룹,팔로우,팔로우반사,김포골드라인,골드라인,선팔맞팔,임대상가,f4f,좋아요,맞좋아요,대박
12,Gimpo Airport Station,27주,명륜진사갈비서울방화점,명륜진사갈비,갈비무한리필,무한리필갈비,갈비,갈비맛집,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gimpo Airport Station,32주,야끼화로발산점,야키세트,안창살,갈비살,타래니꾸,37,,,,,,,,,,,,,,,,,,,,,,,,,
14,Gimpo Airport Station,34주,베트남노상식당방화역점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Gimpo Airport Station,34주,쭉심개화산점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Gimpo Airport Station,35주,김포공항,김포공항맛집,김포공항역맛집,롯데몰맛집,육개장국수,보쌈반상,수육,치자면,원할머니국수보쌈,원할머니족발보쌈,,,,,,,,,,,,,,,,,,,,,
17,Gimpo Airport Station,35주,삼미식당,수제돈까스,냉면,영양듬뿍보리밥,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gimpo Airport Station,37주,신전떡볶이공항점,신전떡볶이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gimpo Airport Station,56주,롯데몰김포공항,롯데몰,롯데김포몰,김포공항역맛집,커리맛집,아그라김포공항점,아그라,인도커리,인도커리와난,주말저녁메뉴,부부스타그램,부부일상,,,,,,,,,,,,,,,,,,,
20,Gimpo Airport Station,61주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gimpo Airport Station,63주,갓덴스시,갓덴스시김포공항점,스시맛집,회전초밥,롯데몰맛집,강서구맛집,김포공항역맛집,jmt,jmtgr,녹는다,존맛,일상,소통,공감,맞팔,생각,느낌,맛집,맛집추천,김포공항롯데몰,점심,점심메뉴,점심약속,,,,,,,,
22,Gimpo Airport Station,67주,강서구맛집,나도스시,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,,
23,Gimpo Airport Station,69주,강서구맛집,나도스시,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,,
24,Gimpo Airport Station,70주,강서구맛집,나도스시,우동정식,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
25,Gimpo Airport Station,71주,강서구맛집,나도스시,커플세트,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
26,Gimpo Airport Station,73주,강서구맛집,나도스시,라멘정식,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,
27,Gimpo Airport Station,74주,강서구맛집,나도스시,강서구,강서,강서구초밥,강서구스시,강서구스시맛집,강서구초밥맛집,송정역맛집,송정역,김포공항근처맛집,김포공항맛집,김포공항역맛집,김포공항스시,김포공항초밥,김포공항스시맛집,김포공항초밥맛집,스시,초밥,,,,,,,,,,,,
