,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Hansung Baekje Station,8주,청와옥,잠실새내맛집,잠실맛집,석촌호수맛집,방이동맛집,한성백제역맛집,순대국맛집,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hansung Baekje Station,18주,멸치국수,꼬막,방이동맛집,한성백제역맛집,할머니멸치국수,파라원방이동,파라원한성백제역,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hansung Baekje Station,18주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드,로봇서빙,잠실데이트,송파데이트,송리단길,송리단길맛집,몽촌토성맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,,
3,Hansung Baekje Station,25주,메리고키친,merrygokitchen,방이동,방이동맛집,올림픽공원,올림픽공원맛집,한성백제역,한성백제역맛집,몽촌토성역,몽촌토성역맛집,잠실,잠실맛집,송파,송파역,송파맛집,파스타,스테이크,브런치,로봇식당,메리,딜리,배달의민족,샐러드,연어,로봇서빙,잠실데이트,송파데이트,송리단길,송리단길맛집,,,
4,Hansung Baekje Station,21주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드,로봇서빙,잠실데이트,송파데이트,송리단길,송리단길맛집,몽촌토성맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,,,
5,Hansung Baekje Station,13주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드,로봇서빙,잠실데이트,송파데이트,송리단길,송리단길맛집,몽촌토성맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,,
6,Hansung Baekje Station,14주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드,로봇서빙,잠실데이트,송파데이트,송리단길,송리단길맛집,몽촌토성맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,,
7,Hansung Baekje Station,43주,홈수끼,잠실,학동,맛있는녀석들,올림픽공원,올림픽공원맛집,올공맛집,한성백제역맛집,한성백제역,올림픽공원카페,방이동맛집,방이동술집,방이동카페,송파구맛집,잠실새내맛집,잠실새내카페,잠실새내역맛집,잠실새내역,석촌호수맛집,방이먹자골목,잠실맛집,석촌호수카페,송파맛집,석촌호수데이트,송리단길카페,송리단길,송리단길맛집,서울맛집,송리단길데이트,샤브샤브,,
8,Hansung Baekje Station,1주,청와옥방이점,본점,방이동맛집,송파맛집,순대국맛집,레알맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hansung Baekje Station,0주,뽕사부,짜장면,짜장면곱배기,한성백제역,송파나루역,올림픽공원,방이동,한성백제역맛집,송파나루역맛집,올림픽공원맛집,방이동맛집,맛스타그램,먹스타그램,,,,,,,,,,,,,,,,,,,
