,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Heukseok Station,98주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Heukseok Station,255주,자담상,흑석맛집,남도한정식,여의도맛집,맛집,foodpic,food,foodie,foodporn,foodgasm,foodpics,foodgram,푸드그램,korean,ff,l4l,f4f,맛스타그램,먹스타그램,instafood,daily,데일리,인친,좋아요,iphone6,yum,yummy,흑석역맛집,iphone6,instalike,happy
3,Heukseok Station,143주,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,수목식당,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,선팔,맞팔,선팔해요,맞팔해요,선팔좋아,맞팔좋아,선팔하면맞팔,좋아요,,,,,,,,,,,,
4,Heukseok Station,88주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Heukseok Station,93주,감자전,탕,손님없을까무셔워요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Heukseok Station,89주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Heukseok Station,124주,흑석동,흑석동맛집,달비슬,동작구맛집,흑석역맛집,중앙대맛집,오뎅바,먹스타그램,맛스타그램,,,,,,,,,,,,,,,,,,,,,,
8,Heukseok Station,69주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Heukseok Station,0주,모로미,이자카야,사시미,사케,동작구,흑석역,흑석,흑석역맛집,흑석동맛집,흑석역술집,중앙대입구역,중앙대,인스타푸드,명란자가버터,오키나와생맥주,먹스타소통,중대맛집,술스타그램,술안주,맛집추천,맛집탐방,인친환영,선팔해요,맞팔해요,,,,,,,
10,Heukseok Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Heukseok Station,0주,수목식당,흑석동맛집추천,흑석시장맛집,흑석역맛집,서울흑석동맛집,흑석동국수맛집,흑석동분식,흑석동먹거리,백종원3대천왕,백종원맛집,맛집공유,맛집발견,맛집인정,꿀맛,푸드스타그램,맛집먹방,맛집추천,02,,,,,,,,,,,,,
12,Heukseok Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Heukseok Station,0주,200605,금요일,저녁,1차,흑석동,마포최대포숯불갈매기돼지갈비,갈매기살,돼지갈비,카스,참이슬후레쉬,2차,성민양꼬치,가지볶음,마라샹궈,칭따오,흑석역,먹스타그램,마포최대포숯불갈비,흑석맛집,흑석동맛집,흑석역맛집,,,,,,,,,,
14,Heukseok Station,0주,흑석동맛집,수목식당,중앙대맛집,중앙대학교맛집,동작구맛집,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,백종원3대천왕,백종원,3대천왕맛집,백종원3대천왕맛집,인기맛집,분위기있는맛집,맞집찾기,맛있다그램,데이트맛집,맛집스타그램,,,,,,,,,,
15,Heukseok Station,0주,빵순이,뚜스뚜스,중앙대빵집,중앙대맛집,흑석역맛집,흑석빵집,흑석역빵집,뚜스뚜스흑석역점,흑석뚜스뚜스,고구마빵,감자빵,초코크로와상,빵집추천,빵집,빵리뷰,빵계정,빵순이그램,빵지순례,빵,빵맛집,빵추천,먹스타맞팔,먹팔,빵투어,식단일기,빵순이다이어터,치팅데이,카페추천,카페,베이커리카페,
16,Heukseok Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Heukseok Station,0주,수목식당,백종원3대천왕,핵존맛,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,중앙대입구맛집,서울흑석동맛집,백종원3대천왕,백종원,3대천왕맛집,백종원3대천왕맛집,백종원맛집,라면,라제비,칼국수,칼제비,만두국,떡국,먹스타그램,맛스타그램,02,서울시,
18,Heukseok Station,0주,수목식당,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,수목식당,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,흑석동라면,중앙대라면,흑석동수제비,백종원3대천왕,백종원,3대천왕맛집,백종원3대천왕맛집,백종원맛집,맛집탐방,맛집블로거,,,,,,,,,
19,Heukseok Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Heukseok Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Heukseok Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Heukseok Station,1주,곱창스토브,흑석동맛집,중앙대맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Heukseok Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Heukseok Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Heukseok Station,1주,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,수목식당,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,중앙대입구맛집,서울흑석동맛집,서울중앙대맛집,,,,,,,,,,,,,,,,,
26,Heukseok Station,1주,Repost,1,흑석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Heukseok Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Heukseok Station,1주,1,흑석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Heukseok Station,1주,바자회,위탁판매,흑석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Heukseok Station,1주,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,수목식당,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,중앙대입구맛집,서울흑석동맛집,서울중앙대맛집,흑석동라면,중앙대라면,흑석동수제비,중앙대수제비,흑석동칼국수,중앙대칼국수,흑석동라면맛집,흑석동국수맛집,흑석동분식,중앙대분식,흑석동만두국,중앙대만두국,,,,,
31,Heukseok Station,1주,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,수목식당,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,중앙대입구맛집,서울흑석동맛집,서울중앙대맛집,흑석동라면,중앙대라면,흑석동수제비,중앙대수제비,,,,,,,,,,,,,
