,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Jeungmi Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jeungmi Station,169주,닭볶음탕,닭도리탕,유림,맛집,강서구맛집,강서구,염창동,증미역,증미역맛집,토종닭,점심,먹스타그램,음스타그램,밥스타그램,푸드스타그램,음식,푸드,인친,소통,선팔,맞팔,런닝맨,,,,,,,,,,,
2,Jeungmi Station,192주,이미점심때내뱃속에들어가서지금은사라진그님,이화수육개장칼국수님,증미역우림블루나인맛집임,오늘도수고했어,저녁은뭘먹을까유,추천해주세용,회사,퇴근,퇴근길,육개장,이화수육개장,육개장칼국수,얼큰해,매콤하다,위꼴사,먹부림,먹방녀,량량이,침샘자극,foodie,delicious,spicy,yummy,먹스타그램,맛스타그램,먹스타,맛스타,저녁메뉴추천,저녁,증미역맛집,,,
3,Jeungmi Station,49주,테트리스,커피나무비장탄,월정떼루아,숙성한우숯불구이전문점,한우숯불구이,강서구맛집,가양동맛집,가양역맛집,등촌동맛집,증미역맛집,와인콜키지프리,콜키지프리,,,,,,,,,,,,,,,,,,,,,
4,Jeungmi Station,48주,김제동,디저트과일,자두,월정떼루아,강서구맛집,강서구와인,등촌동맛집,증미역맛집,가양역맛집,가양동맛집,가양조하,,,,,,,,,,,,,,,,,,,,,,
5,Jeungmi Station,97주,소머리수육,죤맛,명랑파개장칼국수,등촌맛집,인정어인정,등촌칼국수,명랑대파칼국수,파개장칼국수,칼국수,맛점,냠냠,증미역맛집,염창동맛집,강서구청,등마루공원,,,,,,,,,,,,,,,,,,
6,Jeungmi Station,48주,제주,초당옥수수,월정떼루아,뭔가다른고기집,남들과달라요,제철재료음식점,가양조하,가양역맛집,가양동맛집,등촌동맛집,증미역맛집,,,,,,,,,,,,,,,,,,,,,,
7,Jeungmi Station,84주,쭈퐁,쭈퐁등촌점,강서구맛집,등촌맛집,쭈꾸미맛집,치즈쭈꾸미,삼겹살쭈꾸미,증미역맛집,가양역맛집,먹스타그램,동네맛집,맛집그램,맛집투어,공팔리터,08L,맛집추천,소통,,,,,,,,,,,,,,,,
8,Jeungmi Station,44주,구리석쇠,월정떼루아,강서구맛집,등촌동맛집,가양역맛집,가양동맛집,증미역맛집,와인콜키지프리,강서구와인,강서구와인콜키지프리,,,,,,,,,,,,,,,,,,,,,,,
9,Jeungmi Station,0주,데이루나,DAYLUNA,DayLuna,dayluna,데루1인,DLPASTA,숯애닭,숯불닭,숯불파닭,숯불치밥,1인치밥,퓨전치밥,증미역맛집,등촌동맛집,강서구맛집,치밥,치킨,파스타,PASTA,1인치밥,퓨전치밥,1인순살닭볶음탕,1인닭볶음탕,1인음식,1인배달,1인음식배달,파스타맛집,배달맛집,리뷰맛집,고객자랑,단골자랑,단골,리뷰자랑
10,Jeungmi Station,0주,jk,jk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jeungmi Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jeungmi Station,0주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,신월동맛집,빛나러오소,헬요일,한강,여의도맛집,염창동맛집,개화산역맛집,좋반,우장산맛집,퇴근,셀스타그램,화이팅,발산맛집,소통그램,강서구,강서구맛집,마곡지구맛집,,,,,,,,,
13,Jeungmi Station,0주,빛나러,프로필링크클릭,첫줄반사,증미역맛집,강서구청술집,등촌역맛집,가양역맛집,증미역네일아트,빛나러오소,신방화맛집,한강,여의도맛집,월요일,좋반테러,신월동맛집,까치산맛집,개화산역맛집,김포공항맛집,셀스타그램,우장산맛집,일상그램,소통그램,강서구,강서구네일아트,마곡지구맛집,,,,,,,,
14,Jeungmi Station,0주,웜테이블,오늘의파스타,파스타맛집,등촌동맛집,등촌동파스타,등촌역맛집,가양역맛집,가양역파스타,증미역파스타,증미역맛집,강서구맛집,강서구파스타,강서구청사거리맛집,파스타그램,분위기좋은,예약가능,warmtable,,,,,,,,,,,,,,,,
15,Jeungmi Station,0주,빛나러,프로필링크클릭,첫줄,증미역속눈썹,강서구청네일,등촌역맛집,가양역맛집,증미역맛집,빛나러오소,데일리메이크업,일요일,좋반,화요일,대한민국,일상,꽃네일아트,여름,여름젤네일아트,찐,강서구,강서구맛집,마곡나루맛집,,,,,,,,,,,
16,Jeungmi Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jeungmi Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jeungmi Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jeungmi Station,0주,유림보신원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jeungmi Station,0주,0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jeungmi Station,0주,jk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jeungmi Station,0주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,신월동맛집,빛나러오소,헬요일,한강,여의도맛집,집스타그램,여름네일아트,이벤트네일,좋반,방화동맛집,신방화역맛집,셀스타그램,화이팅,일상그램,소통그램,강서구이벤트네일아트,발산역,마곡역맛집,,,,,,,,
23,Jeungmi Station,0주,행복은간장밥,행밥,이마트가양점,이마트가양점맛집,이마트가양점밥집,증미,증미맛집,증미밥집,증미혼밥,증미역,증미역맛집,증미역밥집,증미역혼밥,가양,가양맛집,가양밥집,가양혼밥,간장연새덮밥,간장연어덮밥,연어장덮밥,간장새우덮밥,새우장덮밥,간장낙지덮밥,소고기장조림비빔밥,닭고기장조림비빔밥,장조림버터비빔밥,버터장조림비빔밥,,,,,,
24,Jeungmi Station,0주,행복은간장밥,행밥,이마트가양점,이마트가양점맛집,이마트가양점밥집,증미,증미맛집,증미밥집,증미혼밥,증미역,증미역맛집,증미역밥집,증미역혼밥,가양,가양맛집,가양밥집,가양혼밥,간장연새덮밥,간장연어덮밥,연어장덮밥,간장새우덮밥,새우장덮밥,간장낙지덮밥,소고기장조림비빔밥,닭고기장조림비빔밥,장조림버터비빔밥,버터장조림비빔밥,,,,,,
25,Jeungmi Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jeungmi Station,0주,고추장찌개,맛자랑치킨,맛자랑포차,가양역맛집,강서구맛집,강서구청맛집,마곡맛집,강서맛집,증미역맛집,등촌맛집,치킨맛집,치킨배달,방화역맛집,발산맛집,양천향교,양천구맛집,마곡나루,서울식물원,퇴근,배달의민족,저녁메뉴,인친,강서구청,,,,,,,,,,
27,Jeungmi Station,0주,여기는어디죠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jeungmi Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jeungmi Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jeungmi Station,1주,피아노,첫출근,화이팅,피아노레슨,성인피아노,성인레슨,피아노선생님,다이어트,내일부터,정체기,다래끼,아픔,눈탱이밤탱이,새우치킨,치킨매니아,달달덕복희,떡볶이,치킨맛집,증미역맛집,맛스타그램,먹스타그램,혼밥,돼식가,묶음머리,린넨자켓,짱편함,여름코디,일상,일상스타그램,ootd,,,
