,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,National Assembly Building Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,National Assembly Building Station,99주,그리디몬,hamburguer,여의도버거,kbs신관,점심,월요병,폭염,청량감,여의도공원맛집,국회의사당역맛집,직장인,점심,,,,,,,,,,,,,,,,,,,
2,National Assembly Building Station,80주,그리디몬,에,크림스프,를,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,National Assembly Building Station,94주,그리디몬,여의도버거,여의도맛집,여의도공원맛집,더샵아일랜드파크,국회의사당역맛집,수제맥주,수제버거,pub,beer,craftbeer,draftbeer,hamburger,yeouido,회식,퇴근,약속,저녁,,,,,,,,,,,,,
4,National Assembly Building Station,49주,수제버거,드시러,그리디몬,그리디몬수제버거,greedymon,craftbeer,draftbeer,여의도공원맛집,더샵아일랜드파크맛집,여의도직장인,여의도햄버거,국회의사당역맛집,더샵아일랜드파크,,,,,,,,,,,,,,,,,,
5,National Assembly Building Station,46주,여의도버거맛집,그리디몬,여의도햄버거,여의도점심,여의도직장인,greedymon,더샵아일랜드파크맛집,국회의사당역맛집,여의도역맛집,오늘점심메뉴,방송국맛집,kbs,,,,,,,,,,,,,,,,,,,
6,National Assembly Building Station,93주,그리디몬,수제버거,수제맥주,버맥,hamburger,pizza,pub,beer,craftbeer,draftbeer,여의도버거맛집,여의도공원맛집,국회의사당역맛집,주말,저녁,테라스,맥주,데이트,한강,kbs,,,,,,,,,,,
7,National Assembly Building Station,94주,그리디몬,수제버거맛집,여의도버거맛집,여의도공원,국회의사당역맛집,직장인,점심,줄서서먹는버거집,푸드플라이,요기요플러스,배민라이더스,,,,,,,,,,,,,,,,,,,,
8,National Assembly Building Station,60주,퇴근후,잠시,여의도공원맛집,대한민국임시정부100주년,greedymon,그리디몬,그리디몬존맛,수제맥주,수제버거맛집,국회의사당역맛집,회식,단체모임,여의도맛집,여의도pub,방송국맛집,,,,,,,,,,,,,,,,
9,National Assembly Building Station,0주,국회의사당맛집,국회의사당역맛집,국회의사당카페,수제돈까스맛집,jmt2020,레트로풍메뉴,여의도맛집추천,외계인키친,분식당,경양식돈까스,맛점하세요,,,,,,,,,,,,,,,,,,,,
10,National Assembly Building Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,National Assembly Building Station,0주,오늘점심메뉴,집밥질릴때,미국식버거,여의도수제버거,그리디몬,greedymon,그리디몬수제버거,여의도버거맛집,국회의사당역맛집,방송국맛집,kbs,greedymon,그리디몬수제버거,하와이안버거,베이컨버거,카라멜라이즈버거,,,,,,,,,,,,,,,
12,National Assembly Building Station,0주,greedymon,kbs,수제버거맛집,시그니쳐버거,카라멜라이즈버거,하와이안버거,베이컨버거,,,,,,,,,,,,,,,,,,,,,,,,
13,National Assembly Building Station,0주,쿠팡이츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,National Assembly Building Station,0주,핸즈클랩,여의도맛집,핸즈클랩,햄버거맛집,파스타,국회의사당역맛집,맞팔,선팔하면맞팔,수제버거,,,,,,,,,,,,,,,,,,,,,,
15,National Assembly Building Station,0주,여의도맛집,서울상견례장소,여의도상견례,여의도상견례장소,여의도점심,여의도횟집,여의도일식,여의도일식집,국회의사당맛집,국회의사당역맛집,노조미,여의도노조미,일상,소통,daily,먹스타그램,,,,,,,,,,,,,,,
16,National Assembly Building Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,National Assembly Building Station,0주,국회의사당맛집,국회의사당역맛집,여의도맛집추천,양철도시락,양은도시락,jmt도시락,스팸요리,스팸덮밥,무말랭이무침,멸치볶음,,,,,,,,,,,,,,,,,,,,,
18,National Assembly Building Station,0주,여의도수제버거맛집,오늘점심메뉴이걷greedymon,여의도수제맥주,여의도펍,단체회식,국회의사당역맛집,여의도공원맛집,배달맛집,쿠팡이츠,배민,푸드플라이,greedymon,방송국맛집,kbs,,,,,,,,,,,,,,,,,
19,National Assembly Building Station,0주,옛날도시락,양은도시락,도시락통,버팔로윙,치킨,솔트앤페퍼,코코넛라떼,coconutlatte,외계인키친,국회의사당역맛집,국회의사당맛집,,,,,,,,,,,,,,,,,,,,
20,National Assembly Building Station,0주,이열치열,뜨끈한국물,여의직장인맛집,국회의사당역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
