,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nodeul Station,72주,브레드숨,바치새,바질치즈새우,생활의달인,바질,새우,빵유민,빵유민,,,,,,,,,,,,,,,,,,,,,,,,
2,Nodeul Station,108주,굿데이서울,당근머핀,당근호두머핀,비건빵,비건빵집,머핀,빵맛집,노들역,노들역맛집,노들역빵집,비건,빵,먹스타그램,빵스타,맛스타그램,먹방,빵집순례,빵투어,디저트,디저트그램,디저트맛집,dessert,dessertpic,foodpics,foodstagram,,,,,,,
3,Nodeul Station,186주,소팔이네홈카페,모닝빵,모닝쥬스,Breadsum,브레드숨,노들역맛집,생활의달인,치즈,식빵,치즈식빵,식빵맛집,빵,빵스타그램,뜯어먹는식빵,쥬스,먹방,먹스타그램,맛있다그램,instadaily,instaPoto,daily,데일리,데일리그램,목요일,일상,행복,소통,맞팔,팔로우,좋아요,,
4,Nodeul Station,112주,츄카롱,마카롱,창업반,츄카롱창업반,마카롱클래스,아이폰,마카롱창업,상암마카롱,서울마카롱,홍대마카롱,노들역맛집,노들역,홈베이킹,베이킹,마카롱수업,macaronclass,macaronstagram,,,,,,,,,,,,,,,
5,Nodeul Station,156주,맛스타그램,먹스타그램,국밥스타그램,먹방,순대국밥,정성가득,말아묵자,부추들어간,붓싼스타일,정호식당,노들역맛집,노들역,맛집,좋아요,꿀맛,delicious,food,맞팔,좋아요반사,일상,daily,소통,,,,,,,,,,
6,Nodeul Station,72주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nodeul Station,145주,그런밤수석노예,그런밤,그런밤수석노예애정템,지나가다빵꾸내면,뒷통수조심하세요,뚝배기깰예정,그런컴퍼니수석노예,그런밤수석노예또믈리에,,,,,,,,,,,,,,,,,,,,,,,,
8,Nodeul Station,167주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Nodeul Station,0주,원두서점,노인과바다,블렌드출시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nodeul Station,0주,원두서점,당첨자발표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nodeul Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
