,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Olympic Park Station,34주,서울,올림픽공원,올림픽공원맛집,갓잇,godeat,god보울,타코,버팔로윙,칠리콘카르네,또띠아,과카몰리,이태원,바토스,하리토스,망고,,,,,,,,,,,,,,,
6,Olympic Park Station,79주,해닭,존맛,짱맛,해닭올림픽공원점,해물닭떡볶이,해물떡볶이,닭떡볶이,볶음밥,떡볶이,올림픽공원맛집,방이역맛집,올림픽공원역맛집,떡볶이맛집,홍천맛집,떡볶이그램,먹스타그램,맛스타그램,오늘도먹는다,오늘의,좋아요,일상,떡순이,,,,,,,,
7,Olympic Park Station,37주,보석조개롱,프레젠트,조개롱,보석조개롱,마카롱맛집,마카롱케이크,방이동마카롱,송파마카롱,올림픽공원맛집,올림픽공원카페,올림픽공원역맛집,방이동카페,방이동맛집,송파마카롱,송파카페,,,,,,,,,,,,,,,
8,Olympic Park Station,95주,첫줄,방이동맛집,송파맛집,석촌호수맛집,방이동먹자골목맛집,올림픽공원맛집,송파구맛집,방이먹자골목맛집,방이역맛집,송파맛집추천,방이맛집추천,유상광고,방이맛집,올림픽공원역맛집,석촌호수데이트,몽촌토성맛집,송파데이트,잠실방이동맛집,먹방투어,먹스타그램,,,,,,,,,,
9,Olympic Park Station,4주,송파맛집,오금동,가족돌상,송파돌잔치,돌잔치식사,가족돌잔치장소,이쁜돌상추천,방이역,올림픽공원역맛집,연형한정식,한정식돌잔치,돌콘파티,출장돌상,돌상예쁜곳,돌준비,첫돌,소규모돌잔치,돌상대여,돌잔치,가성비돌상,출장돌상이쁜곳,저렴한돌상,,,,,,,,
10,Olympic Park Station,5주,올림픽공원역근처맛집,올림픽공원근처맛집,올림픽공원역맛집,흑염소,까치산장,하남까치산장,흑염소맛집,흑염소수육,맛있어,또먹고싶음,흑염소뚝배기,흑염소탕,,,,,,,,,,,,,,,,,,
11,Olympic Park Station,5주,20191124,일요일,저녁,일상,일상스타그램,휴일,휴일스타그램,맛스타그램,먹스타그램,맛있다그램,올림픽공원맛집,올림픽공원역맛집,방이동맛집,전국낙지자랑,낙지덮밥,낙지만두,,,,,,,,,,,,,,
12,Olympic Park Station,6주,무한장소,방이역,방이역맛집,무한장소,방이역맛집,송파구맛집,올림픽공원맛집,방이동맛집,방이역고기무한리필,무한리필맛집,서울맛집,서울고기맛집,송파맛집,신메뉴나왔을땐,08L,서울데이트,회식장소,올림픽공원역맛집,방이역맛집,고기맛집,먹스타그램,,,,,,,,,
13,Olympic Park Station,7주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Olympic Park Station,8주,잘먹고힘내자,뭐니뭐니해도건강이최고,조선화로구이,올림픽공원역맛집,양념소갈비,한우육회,지평막걸리,봉평메밀막국수,참숯갈비,소상공인살리기,다함께힘내요,마음의무지개,정정록홧팅,맛집스타그램,맛스타그램,줌마스타그램,,,,,,,,,,,,,,
15,Olympic Park Station,9주,우드그린4717,방이동맛집,송파맛집,올림픽공원맛집,올림픽공원역맛집,방이역맛집,볼로노제파스타,파스타맛집,가성비좋은맛집,맛집맞팔,맛스타그램,먹스타그램,푸드스타그램,맛스타맞팔,먹스타맞팔,푸드스타맞팔,맛집투어,서울맛집투어,서울맛집,선팔맞팔,선팔하면맞팔,맞팔환영,오늘뭐먹으까,오늘뭐먹지,,,,,,
16,Olympic Park Station,11주,올림픽공원역맛집,낙지불고기,낙지볶음,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Olympic Park Station,15주,등심돈까스,미소야,올림픽공원역맛집,the,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Olympic Park Station,16주,곰탕,라미옥,올림픽공원역맛집,방이동맛집,먹다,먹슐랭,먹스타그램,,,,,,,,,,,,,,,,,,,,,,,
19,Olympic Park Station,17주,빕스,스테이크,올림픽공원점빕스,샐러드바,셀러드바무제한,성내동맛집,잠실나루역맛집,올림픽공원역맛집,강동구청역맛집,,,,,,,,,,,,,,,,,,,,,
20,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Olympic Park Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Olympic Park Station,24주,곱창전골,올림픽공원맛집,라미옥,곰탕맛집,올림픽공원역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
27,Olympic Park Station,26주,프레젠트,티푸드샵,방이동프레젠트,올림픽공원,디저트카페추천,올림픽공원역맛집,올림픽공원맛집,올림픽홀,키쉬,키쉬맛집,라따뚜이,라따뚜이맛집,,,,,,,,,,,,,,,,,,
28,Olympic Park Station,27주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Olympic Park Station,27주,프레젠트,present,크리스마스케이크,크리스마스케이크예약,크리스마스케이크주문,송파케이크,방이동케이크,잠실케이크,잠실케이크주문제작,크리스마스선물,스콘,마카롱,케이크맛집,케이크주문제작,올림픽공원케이크,올림픽공원역카페,올림픽공원카페,올림픽공원역맛집,올림픽공원스냅,프레젠트티푸드샵,,,,,,,,,,
30,Olympic Park Station,27주,프레젠트,present,올림픽공원역프레젠트,디저트카페,방이역카페,올림픽공원역카페,올림픽공원,올림픽공원피크닉,샌드위치맛집,올림픽공원역맛집,에그샐러드샌드위치,치아바타,포카치아,마카롱,쿠키,스콘맛집,쿠키맛집,마카롱맛집,올림픽공원마카롱,올림픽공원디저트,,,,,,,,,,
31,Olympic Park Station,27주,프레젠트,present,올림픽공원역프레젠트,디저트카페,방이역카페,올림픽공원역카페,올림픽공원,올림픽공원피크닉,샌드위치맛집,올림픽공원역맛집,에그샐러드샌드위치,치아바타,포카치아,마카롱,쿠키,스콘맛집,쿠키맛집,마카롱맛집,올림픽공원마카롱,올림픽공원디저트,,,,,,,,,,
32,Olympic Park Station,30주,조선화로집,올림픽공원역맛집,조선화로집,생갈비,돼지갈비,소갈비살,참숯갈비,내친구들홧팅,마음의무지개,정정록홧팅,,,,,,,,,,,,,,,,,,,,
33,Olympic Park Station,31주,2020플래너,누구보다빠르게,남들과는다르게,색다르게리듬을타는,파스쿠찌플래너,Get,Set,Ready,Go,티라미수콘파냐,얼그레이티초콜릿,2020파스쿠찌,,,,,,,,,,,,,,,,,,
34,Olympic Park Station,32주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Olympic Park Station,32주,베트남음식,베트남식당,베트남쌀국수,포유티,포유티베트남쌀국수,현지인식당,쌀국수,팟타이,반쎄오,일상,일상스타그램,daily,맛집,맛집스타그램,먹방,먹방스타그램,응원,응원스타그램,방이역,올림픽공원역맛집,방이동맛집,송파맛집,,,,,,,,
36,Olympic Park Station,33주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Olympic Park Station,33주,골든프리미어토마호크스테이크,빕스,빕스타그램,올림픽공원빕스,송파핫플,송파맛집,빕스올림픽공원점,빕스특가전,빕스가성비,골든프리미어토마호크,골든프리미어,스테이크,토마호크스테이크,프리미어스테이크,,,,,,,,,,,,,,,,
38,Olympic Park Station,34주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Olympic Park Station,35주,먹지구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Olympic Park Station,36주,라따뚜이,프레젠트,present,키쉬,키쉬맛집,라따뚜이키쉬,올림픽공원역맛집,올림픽공원맛집,올림픽공원카페,올림픽공원,방이동프레젠트,방이동카페,송파카페,송파카페추천,방이동카페추천,올림픽프라자상가,디저트카페,,,,,,,,,,,,,
41,Olympic Park Station,37주,박장대소부부,일상,데이트,먹스타그램,맛스타그램,화진포막국수,올림픽공원역맛집,항정보쌈,박장대소맛집,박장대소맛집,,,,,,,,,,,,,,,,,,,,
42,Olympic Park Station,37주,프레젠트,present,디저트카페,방이동디저트,방이동카페,방이동맛집,올림픽공원,올림픽공원맛집,올림픽공원역맛집,올림픽공원역카페,올림픽공원카페,스콘맛집,선물추천,선물세트,마카롱맛집,마카롱케이크,마카롱그램,마카롱택배,쿠키,,,,,,,,,,,
43,Olympic Park Station,37주,프레젠트,present,디저트카페,방이동디저트,방이동카페,방이동맛집,올림픽공원,올림픽공원맛집,올림픽공원역맛집,올림픽공원역카페,올림픽공원카페,스콘맛집,선물추천,선물세트,마카롱맛집,마카롱케이크,마카롱그램,마카롱택배,쿠키,,,,,,,,,,,
