,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,Saetgang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saetgang Station,11주,하얀과자점,바스크치즈케익,트러플,트러플바스크치즈케익,치즈케익,끼리,kiri,여의도베이킹,여의도디저트까페,여의도맛집,샛강역맛집,구움과자맛집,구움과자,구움과자까페,디저트까페,cheesecake,basquecheesecake,월간파티시에,베이킹클래스,동경제과,,,,,,,,,,,,,,
2,Saetgang Station,31주,하얀과자점,크리스마스케익,크리스마스,케익,오두막케익,초코케익,여의도까페,여의도디저트,여의도맛집,여의도명물,먹스타그램,빵스타그램,빵지순례,구움과자,구오카시야,샛강역맛집,여의도데이트코스,여의도직장인,베이킹클래스,동경제과,제과,cake,,,,,,,,,,,,
3,Saetgang Station,43주,오카시야,8월에크리스마스,슈톨렌,추석선물세트,구움과자,여의도까페,감자케익,아인슈패너맛집,디저트까페,디저트맛집,까페추천,여의도맛집,동경제과,샛강역맛집,서울까페추천,먹스타그램,빵스타그램,,,,,,,,,,,,,,,,,
4,Saetgang Station,37주,하얀과자점,오카시야,생일케익,복숭아케익,이벤트,까페이벤트,여의도까페,여의도,여의도디저트,여의도맛집,샛강역맛집,구움과자,디저트맛집,빵스타그램,cake,peachcake,peach,,,,,,,,,,,,,,,,,
5,Saetgang Station,51주,오카시야,시즈널메뉴,자허토르테,여의도,여의도까페,여의도맛집,샛강역맛집,까페,까페맛집,아인슈패너맛집,감자케익,동경제과,까페컨설팅,sacher,sachertorte,okashiya,cake,koreacaffe,제주도까페,발로나진주크런치,발로나,깔리바우트,까페투어,빵지순례,신상까페,,,,,,,,,
6,Saetgang Station,71주,오카시야,다쿠와즈,다쿠버거,구움과자,단짠단짠,여의도맛집,여의도까페,샛강역맛집,간식,버거,창업클래스,신상까페,핫플래이스,,,,,,,,,,,,,,,,,,,,,
7,Saetgang Station,48주,오카시야,트러플,트러플다쿠와즈,최초,다쿠와즈,송로버섯,여의도,여의도까페,여의도맛집,여의도디저트,디저트까페,샛강역맛집,디저트배달,감자케익,아인슈패너맛집,살구라떼,블루베리라떼,카시스오렌지,여름음료,동경제과,truffle,dacquoise,,,,,,,,,,,,
8,Saetgang Station,92주,오카시야,주문케익,초코케익,케익,여의도케익,여의도까페,여의도맛집,샛강역맛집,신상까페,답례품,선물,생일케익,마담파티시에,베이킹클래스,,,,,,,,,,,,,,,,,,,,
9,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Saetgang Station,0주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
11,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,성수마카롱,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
12,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Saetgang Station,0주,마녀김밥여의도점,마녀김밥,교리김밥,묵은지김밥,마녀떡볶이,진심을담은요리,진담리,데이트코스,괜찮은곳,여긴몰랐지,여의도맛집,점심메뉴,여의도점심맛집,오늘뭐먹지,태양빌딩,여의도술집,퓨전요리,여의도술집추천,샛강역맛집,너무,숨은맛집,정겨운오뎅,kbs별관,우니맛집,시메사바,생참치,JMT,여의도스시맛집,여의도초밥맛집,스시,,,,
14,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saetgang Station,0주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
16,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,성수마카롱,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
17,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Saetgang Station,0주,복어독,테트로도톡신,흐르는물,독을,안전제일,진심을담은요리,진담리,데이트코스,괜찮은곳,여긴몰랐지,여의도맛집,점심메뉴,여의도점심맛집,오늘뭐먹지,태양빌딩,여의도술집,퓨전요리,여의도술집추천,샛강역맛집,너무,숨은맛집,kbs별관,우니맛집,시메사바,생참치,JMT,여의도스시맛집,여의도초밥맛집,스시,,,,,
19,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Saetgang Station,0주,새끼복어,복가라아게,코스요리,진심을담은요리,진담리,데이트코스,괜찮은곳,여긴몰랐지,여의도맛집,점심메뉴,여의도점심맛집,오늘뭐먹지,태양빌딩,여의도술집,퓨전요리,여의도술집추천,샛강역맛집,너무,숨은맛집,정겨운오뎅집,kbs별관,우니맛집,시메사바,생참치,JMT,여의도스시맛집,여의도초밥맛집,스시,,,,,,
21,Saetgang Station,0주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
22,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,성수마카롱,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
23,Saetgang Station,0주,하쯔호,스시,sushi,스시야,sushiya,오마카세,omakase,히카리모노,사시미,사케,sake,여의도동맛집,샛강역맛집,seoul,korea,,,,,,,,,,,,,,,,,,,
24,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,성수마카롱,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
25,Saetgang Station,0주,용용이조개찜,용용이조개찜샤브,여의도맛집,서울맛집,샛강역맛집,샛강역,여의도역,서울맛집,서울맛집추천,서울맛집투어,맛집,맛스타그램,맛,맛스타,맛집인정,맛집투어,맛있어,맛팔,맛집스타그램,맛집그램,선팔,맞팔해요,맞팔선팔환영,맞팔은댓,맞팔선팔,,,,,,,,,
26,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,성수마카롱,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
27,Saetgang Station,0주,수정쌈밥,샛강역맛집,펀스토랑,먹스타그램,제육쌈밥,자극적이지않아서좋네유,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Saetgang Station,0주,여의도한정식,여의도맛집,단아,여의도역맛집,두부사합,명란바삭감자전,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Saetgang Station,0주,교동전선생,노릇노릇,감자전,달달한,알밤막걸리,전선생,여의도맛집,좋맛탱,맛집추천,서울맛집,맛스타,먹스타그램,교동술집,여의도,샛강역맛집,여의도맛집추천,맛집투어,먹방그램,한식주점,전통민속주점,,,,,,,,,,,,,,
31,Saetgang Station,0주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,오므라이스,오므라이스맛집,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,
32,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
33,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Saetgang Station,0주,여의도맛집,샛강역맛집,야키토리전문점,열기구이,열기조림,여의도술집,데이트,모듬사시미,코지마,코지마야키토리,작은섬,진주상가2층,today,dinner,yummy,yeouido,izakaya,yakitory,bistro,soju,wine,beer,sake,,,,,,,,,,,
35,Saetgang Station,0주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
