,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Samjeon Station,36주,니쿠야호,부타동맛집,멘치까스맛집,파스타맛집,잠실맛집,잠실새내맛집,송파맛집,석촌호수맛집,송리단길맛집,잠실데이트,잠실혼술,혼술맛집,잠실맛집추천,파스타,돈까스,부타동,,,,,,,,,,,,,,,,
2,Samjeon Station,57주,안재식당,모던한정식,가정식정찬,잠실,잠실맛집,삼전역,삼전동,삼전동맛집,삼전역맛집,솥밥,한식맛집,솥밥정식,솥밥맛집,송파맛집,송파구맛집,장조림,우반,계란밥,계반,경상도식소고기국,경상도식소고기무국,,,,,,,,,,,
3,Samjeon Station,13주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Samjeon Station,0주,36w6d,36주임산부,임산부,10개월임산부,임산부일상,임산부먹방,삼전동맛집,우리맛닭,우리맛닭,먹방,먹스타그램,맛스타그램,instadaily,instafood,,,,,,,,,,,,,,,,,,
5,Samjeon Station,22주,정라멘,아부라소바,타인의취향,먹스타그램,맛스타그램,선팔맞팔,좋아요폭탄,좋아요요정,맛집,라멘,삼전역맛집,신천맛집,강남맛집,라멘맛집,송파라멘,잠실라멘,삼전동라멘,ramen,noodle,aburasoba,soju,food,foodie,instafood,f4f,l4l,,,,,,
6,Samjeon Station,46주,마담타이,삼전동맛집,삼전역맛집,잠실맛집,마담쌀국수,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Samjeon Station,17주,잠실회식장소,잠실술집,잠실새내술집,잠실역술집,잠실맛집,롯데월드,월드타워,석촌호수,석촌고분역맛집,삼전동맛집,삼전역맛집,방이동맛집,잠실맛집추천,잠실핫플레이스,,,,,,,,,,,,,,,,,,
8,Samjeon Station,6주,삼전동맛집,삼전역맛집,집2분거리,양식집은,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Samjeon Station,0주,안재식당,송파,송파맛집,신천,신천맛집,잠실새내,잠실새내맛집,삼전역,삼전역맛집,솥밥,계반,제육볶음,안단짠갈비찜,삼겹살묵은지찜,대대포막걸리,,,,,,,,,,,,,,,,,
10,Samjeon Station,0주,모란맛집,로바타잔잔,경찰병원맛집,하시라도,싸먹는초밥,잠실동맛집,삼전역맛집,장수식당,김치삼겹,잠실동꼬치집,생맥끝장남,삼전역맛집,투다리,,,,,,,,,,,,,,,,,,,
11,Samjeon Station,0주,초특가,할인,단기임대,집을배달합니다,강남원룸,송파원룸,잠실원룸,마스크,삼전역맛집,코로나,사회적거리두기,잠실동단기임대,잠실동원룸,풀옵션원룸,원룸인테리어,단기임대,실매물,잠실동,입주빠름,지하철,빌라,맛집,먹자골목,,,,,,,,,
12,Samjeon Station,0주,고딴거,감사합니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Samjeon Station,0주,일하는기쁨,이것이직장인의삶,피자쿠치나,나만의피자,편식권장,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Samjeon Station,0주,윤파스타,내돈내산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Samjeon Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Samjeon Station,0주,비오니까,말만,저염명란구이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
