,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Samseong Central Station,0주,조정석,조인성,정우성,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Samseong Central Station,23주,토치커피,tochcoffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Samseong Central Station,72주,란주쿠,이소베마키,삼성동맛집,삼성역맛집,삼성중앙역맛집,삼성역이자카야,삼성역일식,삼성동란주쿠,이자카야,차원이다른이자카야,jmt,삼성동이자카야,삼성동회식장소,삼성동데이트,,,,,,,,,,,,,,,,,,,
4,Samseong Central Station,34주,란주쿠,삼성동맛집,삼성역맛집,삼성중앙역맛집,삼성역이자카야,삼성역일식,삼성동란주쿠,차원이다른이자카야,jmt,삼성동이자카야,삼성역모임장소,삼성역회식장소,,,,,,,,,,,,,,,,,,,,,
5,Samseong Central Station,10주,수제버거,햄버거,삼성역,삼성역맛집,가로수길,가로수길맛집,가로수길버거,삼성역버거,삼성중앙역,삼성중앙역맛집,삼성동,삼성동맛집,브루클린더버거조인트,감자튀김,프렌치프라이,콜라,콜라맛집,수제버거맛집,,,,,,,,,,,,,,,
6,Samseong Central Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Samseong Central Station,10주,수제버거,햄버거,삼성역,삼성역맛집,가로수길,가로수길맛집,가로수길버거,삼성역버거,삼성중앙역,삼성중앙역맛집,삼성동,삼성동맛집,브루클린더버거조인트,감자튀김,프렌치프라이,콜라,콜라맛집,수제버거맛집,,,,,,,,,,,,,,,
8,Samseong Central Station,25주,삼성동맛집,삼성동이자카야,와라야키,삼성중앙역맛집,청담동맛집,코엑스맛집,일본식짚불요리,우니이꾸라동,란주쿠,사바산도,사바보우즈시,야마자키12년,instadaily,instapic,instafood,ranjuku,warayaki,instagood,foodie,hibiki,foodstagram,winelover,naturalwine,japanesedaining,kirindraftbeer,whiskeygram,winestagram,zalto,,,,,
9,Samseong Central Station,0주,사이드에이,삼성중앙역맛집,삼성중앙역카페,삼성동맛집,삼성동분위기깡패,라자냐맛집,삼성동데이트,삼성동파스타,테라스카페,삼성동심야식당,파스타맛집,스테이크샐러드,카페,캐쥬얼레스토랑,강남맛집,먹스타그램,맛스타그램,,,,,,,,,,,,,,,,
