,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sapyeong Station,27주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,,,
3,Sapyeong Station,22주,엣토스조식배달,반포조식배달,서초조식배달,반포리체,반포미도,반포자이,반포래미안아이파크,반포푸르지오써밋,반포브런치,반포동,서초동,,,,,,,,,,,,,,,,,,
4,Sapyeong Station,61주,반포커뮤니티,반포맘모임,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sapyeong Station,6주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,
6,Sapyeong Station,109주,함박스테이크,hamburgersteak,젠앤코젤,젠코,브런치펍,반포브런치,반포맛집,코젤다크,필스너우르켈,체코맥주,반포삼호가든,반포리체,반포미도,반포자이,삼풍,반포맘,서초맘,사평역맛집,반포고등,원명초등,원촌초등,반포성당,zenko,,,,,,
7,Sapyeong Station,18주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,
8,Sapyeong Station,151주,반포,사평역맛집,반포맛집,반포카페,브런치카페,젠탱글,브런치,먹스타그램,맛있다,먹부림,다이어트실패,한끼,분위기,분위기깡패,카페스타그램,에그베네딕트,데일리,일상,맛집,선팔,맞팔,선팔하면맞팔,eggsbenedict,food,foodstagram,njlighting,follow4follow,,
9,Sapyeong Station,1주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,
10,Sapyeong Station,2주,고속터미널맛집,차알,랩더치킨,차돌마라탕면,파미에스테이션맛집,파미에스테이션차알,파미에스테이션,고속터미널역맛집,반포맛집,마라탕,먹스타그램,맛스타그램,먹스타맞팔,좋아요반사,좋반,맞팔,선팔하면맞팔,반포역맛집,교대맛집,교대역맛집,사평역맛집,잠원역맛집,고터맛집,,,,,,
11,Sapyeong Station,3주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,
12,Sapyeong Station,11주,매일새벽,서초반포,주민들,갑니다,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sapyeong Station,12주,무한리필,회식의달인,신논현맛집,신논현역맛집,신논현역,반포동맛집,논현동맛집,반포동,반포동맘,논현동맘,고기맛집,맛집추천,맛집,먹스타그램,사평역,사평역맛집,고기스타그램,반포동회식장소,신논현역회식,소통,맞팔,선팔,좋아요,좋아요반사,맞팔반사,선팔하면맞팔,,,
14,Sapyeong Station,14주,조식배달,엣토스조식,반포조식배달,서초조식배달,브런치맛집,젠코,예가체프커피,,,,,,,,,,,,,,,,,,,,,,
15,Sapyeong Station,14주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,
16,Sapyeong Station,15주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sapyeong Station,21주,엣토스조식배달,반포조식배달,서초조식배달,서양식간편조식,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sapyeong Station,21주,엣토스조식배달,반포조식배달,서초조식배달,서양식조식,치킨데리야끼,파인애플파니니,월도프샐러드,,,,,,,,,,,,,,,,,,,,,,
19,Sapyeong Station,22주,엣토스조식배달,반포조식배달,서초조식배달,아파트조식,반포리체,반포미도,반포래미안아이파크,반포푸르지오써밋,반포자이,,,,,,,,,,,,,,,,,,,,
20,Sapyeong Station,24주,방탄소년단뷔,뷔생일축하,방탄소년단컵홀더,컵홀더카페,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sapyeong Station,26주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sapyeong Station,26주,에그타르트,나따오비까,론칭,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sapyeong Station,27주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sapyeong Station,28주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sapyeong Station,29주,오늘새벽쿠킹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sapyeong Station,29주,토마토닭가슴살,가츠동,블루베리닭가슴살샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sapyeong Station,30주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sapyeong Station,31주,필라프김치베이컨,돈가스샌드위치,월도프샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sapyeong Station,31주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sapyeong Station,32주,엣토스조식,젠코조식,반포리체조식,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sapyeong Station,32주,연잎밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sapyeong Station,33주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sapyeong Station,33주,나시고렝,파니니치즈베이컨,월도프샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sapyeong Station,33주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sapyeong Station,33주,takeout,grabngo,edtos조식,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sapyeong Station,33주,등심돈가스샌드위치,필라프김치베이컨,햄프씨드샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sapyeong Station,34주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sapyeong Station,34주,엣토스주간메뉴,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sapyeong Station,34주,와인데이,젠코와인,콜키지프리,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sapyeong Station,34주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sapyeong Station,34주,반포커뮤니티카페,반포리체키친,카페젠코,마이키친엣토스,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sapyeong Station,34주,로고,반포커뮤니티카페,반포리체키친,카페젠코,마이키친엣토스,,,,,,,,,,,,,,,,,,,,,,,,
44,Sapyeong Station,34주,반포커뮤니티,카페젠코,반포리체,마이키친엣토스,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sapyeong Station,34주,반포커뮤니티,카페젠코,반포리체,마이키친엣토스,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sapyeong Station,35주,카페젠코,서울페이,제로페이,제로페이가맹점,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sapyeong Station,35주,입주민카페,토요조식,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sapyeong Station,36주,에그치즈파니니,치킨데리야끼,귀리돈안심샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
