,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Seokchon Ancient Tombs Station,9주,석촌호수맛집,삼전동맛집,롯데월드맛집,석촌고분역맛집,고기공원,삼전동고기집,잠실맛집,송파맛집,,,,,,,,,,,,,,,,,,,,,,,
2,Seokchon Ancient Tombs Station,9주,테이스티버거잠실점,테이스티버거,에그마니버거,통치킨버거,둉이,수제버거맛집,햄버거맛집,가수테이가게,테이수제버거,수제버거,맛집,잠실맛집,석촌호수맛집,송리단길맛집,잠실역맛집,석촌호수,석촌고분역맛집,맛집스타그램,맛집추천,,,,,,,,,,,,
3,Seokchon Ancient Tombs Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seokchon Ancient Tombs Station,17주,잠실회식장소,잠실술집,잠실새내술집,잠실역술집,잠실맛집,롯데월드,월드타워,석촌호수,석촌고분역맛집,삼전동맛집,삼전역맛집,방이동맛집,잠실맛집추천,잠실핫플레이스,,,,,,,,,,,,,,,,,
5,Seokchon Ancient Tombs Station,37주,마왕족발,마왕족발석촌점,마왕통구이,족발볶음밥,족발,보쌈구이,족발맛집,족발배달,족발배달맛집,석촌동족발,석촌동족발맛집,석촌동맛집,헬리오시티맛집,헬리오시티배달,송파족발,송파족발맛집,석촌고분역맛집,석촌호수맛집,먹스타그램,맛스타그램,먹스타맞팔,,,,,,,,,,
6,Seokchon Ancient Tombs Station,17주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Seokchon Ancient Tombs Station,6주,궁금한,주은감자탕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Seokchon Ancient Tombs Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
