,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Seonjeongneung Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Seonjeongneung Station,35주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Seonjeongneung Station,6주,스시쇼우키,한완희셰프,선정릉역,스시키,SUSHIKI,선정릉맛집,선정릉역맛집,스시맛집,스시,스시오마카세,스시오마카세맛집,미들급스시야,한완희셰프,디너오마카세,가성비갑,가심비갑,맛집,맛스타그램,먹스타그램,술스타그램,먹방,일상주반사,최진로사케,제니맛집강남,,,,,,,
3,Seonjeongneung Station,37주,진대감논현본점,이영자맛집,차돌삼합,강남맛집,논현동맛집,학동역맛집,언주역맛집,강남구청역맛집,강남구청맛집,학동맛집,선정릉역맛집,강남구청역회식,논현동회식,강남구청회식,좋반,소통,,,,,,,,,,,,,,,
4,Seonjeongneung Station,34주,비어플라주,beerflage,삼성동맥주,삼성동수제맥주,수제맥주,craftbeer,선정릉역맥주,삼성중앙역맥주,삼성역맛집,선정릉역맛집,삼성중앙역맛집,삼성동맛집,삼성중앙역카페,선정릉역카페,대관문의,크레프트비어,애견동반카페,애견동반,애견동반식당,결혼식뒷풀이,삼성동,대관,크리스마스,네추럴와인,와인,seouleats,seoul,seoulfood,seoulfood,,
5,Seonjeongneung Station,33주,하루방김밥,선정릉역하루방,선정릉역맛집,수제비맛집,선정릉역점심,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Seonjeongneung Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Seonjeongneung Station,38주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Seonjeongneung Station,15주,모카런던,와인비스트로,그라브락스,연어숙성회,피노누아,샤르도네,샤도네이,로제와인,샴페인,선정릉역맛집,선릉역맛집,콜키지프리,,,,,,,,,,,,,,,,,,,
9,Seonjeongneung Station,0주,브루원,노이어페일에일,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,
10,Seonjeongneung Station,0주,선정릉역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Seonjeongneung Station,0주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,
12,Seonjeongneung Station,0주,아이스초코,꾸덕꾸덕,카페레꼴뜨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Seonjeongneung Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Seonjeongneung Station,0주,런치,브런치,테라스,테라스카페,브런치카페,강남테라스브런치카페,강남분위기좋은카페,레스토랑,강남레스토랑,삼성동레스토랑,브런치,아보카도샌드위치,봉골레파스타,콜키지,조인바이트,선정릉역맛집,삼성동맛집,선릉맛집,강남구맛집,데이트코스,여심저격,분위기있는카페,맛집탐방,먹스타그램,먹스타맞팔,맛의바다로가는산,맛바산강남구,맛바산삼성동,,,
15,Seonjeongneung Station,0주,오늘아님주의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Seonjeongneung Station,0주,선정릉역맛집,모카런던,와인,푸드,페어링,여기,음식,정말,심하게,맛있다,,,,,,,,,,,,,,,,,,,,,
17,Seonjeongneung Station,0주,선정릉역맛집,accorhotels,hotelcrescendoseoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Seonjeongneung Station,0주,따봉이,문안인사,여름,더위,코로나,joinvite,조인바이트,강남,삼성동,선정릉역,코엑스,강남맛집추천,선정릉역맛집,선릉역맛집,강남구청맛집,강남테라스브런치카페,강남분위기좋은카페,애견동반카페,애플망고맛집,애플망고빙수맛집,따봉코리아,참따봉,강남이탈리안레스토랑,강남스테이크맛집,강남파스타맛집,wine,와인,와인페어링,강남와인,와인콜키지,
19,Seonjeongneung Station,0주,후르츠케이크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Seonjeongneung Station,0주,참치,회,스시,초밥,모임,접대,외국인접대,상견례,환갑,다랑원,신라다랑원,삼성중앙역맛집,삼성동맛집,삼성역맛집,선릉맛집,선릉역맛집,선정릉역맛집,코엑스맛집,봉은사맛집,참치맛집,강남참치,,,,,,,,,,
