,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Seonyudo Station,8주,뚜스뚜스,버섯크림파스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Seonyudo Station,10주,택배,홈앤브레드,녹차크림팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Seonyudo Station,6주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집스타그램,이영자맛집,외식하는날맛집,이영자,홍대고기집,송가인,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Seonyudo Station,4주,tsukemen,ramen,jmt,먹방,먹방스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,연남동맛집,밥블레스유,비빔국수,홍대데이트,홍대삼겹살,존맛탱,외식하는날,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Seonyudo Station,9주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살맛집,차돌박이,홍대맛집베스트,영등포맛집,합정데이트,비빔국수,이영자,홍대맛집추천,서교동맛집,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,
8,Seonyudo Station,17주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,이영자,맛집,홍대맛집,이영자맛집,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Seonyudo Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대고기집,합정삼겹살,삼겹살맛집,외식하는날삼겹살,홍대맛집베스트,이영자맛집,홍대맛집탐방,선유도,맛집스타그램,송가인맛집,,,,,,,,,,,,,,,,,,,,,,,,
11,Seonyudo Station,0주,양념소고기,선유도맛집,선유도역맛집,서서갈비,선유도소고기,당산맛집,당산소고기,양념소고기맛집,소고기맛집,무튼고선유도,술스타그램,술안주,안주그램,푸드스타그램,맛스타그램,맛집,맛있다그램,먹스타그램,먹스타,먹부림,존맛탱,jmt,일상,데일리,daily,맛집추천,맞팔,와인스타그램,,,,,,,,,,
12,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,합정동맛집,오겹살,합정고기집,이영자맛집,홍대데이트,홍대맛집추천,합정데이트,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Seonyudo Station,0주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살,비빔국수,냉삼초밥,이영자,외식하는날송가인,서교동맛집,홍대맛집,홍대맛집베스트,합정역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
