,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Sinbanghwa Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sinbanghwa Station,121주,동양식당,매운오일파스타,존맛탱,개존맛,핵존맛,강서구맛집,마곡나루맛집,마곡나루역맛집,마곡지구맛집,마곡동맛집,마곡맛집,신방화역맛집,마곡역맛집,마곡나루회식,외식,혼술,혼밥,데이트,파스타,짬뽕,일상,소통,맞팔,먹스타그램,인친,맛스타그램,맛집,,,,,
2,Sinbanghwa Station,12주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sinbanghwa Station,11주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sinbanghwa Station,123주,달퐁,유기농빵,강서구맛집,유기농식빵,신방화역,방화동,방화동빵집,방화동맛집,신방화역빵집,빵지순례,서울빵집,베이커리,맞팔,유기농빵,강서구,핑크,분홍,빵스타그램,먹스타그램,빵순이,먹방,굽스타그램,마곡나루역맛집,신방화역맛집,베이킹스타그램,식빵,,,,,,
5,Sinbanghwa Station,12주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sinbanghwa Station,12주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sinbanghwa Station,11주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sinbanghwa Station,11주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sinbanghwa Station,0주,한우정성곱창,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sinbanghwa Station,0주,오늘은,먹스타그램,맛스타그램,맛집,장어맛집,강서구맛집,신방화역맛집,신방화맛집,마곡맛집,신방화풍천민물장어,풍천장어,민물장어,몸보신,더위극복,장어먹고힘내자,koreancusine,unagigrill,unagibbq,장어집에,,,,,,,,,,,,,
18,Sinbanghwa Station,0주,원조수구레,방화수구레,산낙지수구레,수구레볶음,방화동맛집,신방화역맛집,신방화맛집,가족모임,수구레포장,맛있는녀석들맛집,맛스타그램,먹스타그램,술스타그램,술도둑,밥도둑,,,,,,,,,,,,,,,,,
19,Sinbanghwa Station,0주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
20,Sinbanghwa Station,0주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
21,Sinbanghwa Station,0주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
22,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sinbanghwa Station,0주,꾸이꾸이돼지촌쭈꾸미,신방화역맛집,쯔양먹방때문이야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sinbanghwa Station,0주,아이폰,일상,데일리,직장인,퇴근,저녁,수초밥,초밥,존맛탱,초밥맛집,신방화역맛집,좋아요,좋아요반사,좋반,좋반테러,맛있는거,아가리어터,다이어트,작심삼일,,,,,,,,,,,,,
27,Sinbanghwa Station,0주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,신월동맛집,빛나러오소,헬요일,한강,여의도맛집,집스타그램,여름네일아트,이벤트네일,좋반,방화동맛집,신방화역맛집,셀스타그램,화이팅,일상그램,소통그램,강서구이벤트네일아트,발산역,마곡역맛집,,,,,,,
28,Sinbanghwa Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sinbanghwa Station,0주,동대문엽기떡볶이,엽기떡볶이,신방화점,신방화역맛집,신방화역,엽떡,엽떡신메뉴,바삭치즈만두,퐁당치즈만두,중국당면,중당,추가,추가필수,먹스타그램,맛스타그램,먹방,맛집,일상,일상스타그램,food,foodstagram,떡볶이,치즈떡볶이,분식,튀김,존맛,존맛탱,점심,,,,
30,Sinbanghwa Station,0주,빛나러,프로필링크클릭,첫줄,증미역네일,강서구청네일,등촌동네일,가양역네일,증미역뷰러펌,빛나러오소,데일리메이크업,6월,좋반,목요일,우장산역네일,신월동맛집,양천향교역네일,일상그램,소통그램,네일그램,좋아요반사,강서구,신방화역맛집,방화동맛집,,,,,,,,,
31,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sinbanghwa Station,0주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
33,Sinbanghwa Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sinbanghwa Station,0주,맬젓돼지갈비,소담한뚝배기,방화동돼지갈비,돼지갈비맛집,멜젓에콕,방화동고기집,갈비맛있는곳,수제돼지갈비,돼지갈비맛있는곳,신방화역고기집,신방화역맛집,돼지갈비와청국장,갈비와냉면,,,,,,,,,,,,,,,,,,,
35,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sinbanghwa Station,1주,신방화역맛집,부쭈꾸미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sinbanghwa Station,1주,마곡맛집,꾸이꾸이돼지촌,부추쭈꾸미,신방화역맛집,부추쭈꾸미,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sinbanghwa Station,1주,동대문엽기떡볶이,엽기떡볶이,엽기닭볶음탕,닭볶음탕,신방화역맛집,신방화점,존맛,존맛탱,먹스타그램,맛스타그램,맛집,일상,일상스타그램,food,foodstagram,,,,,,,,,,,,,,,,,
46,Sinbanghwa Station,1주,피글렛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sinbanghwa Station,1주,피글렛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sinbanghwa Station,1주,신방화역맛집,신방화명태조림,명태명가신방화역점,신방화생선구이,명태조리맛집,먹스타그램,맛스타그램,인스타푸드,고등어구이,명태조림,,,,,,,,,,,,,,,,,,,,,,
49,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sinbanghwa Station,1주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
51,Sinbanghwa Station,1주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
52,Sinbanghwa Station,1주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
53,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sinbanghwa Station,1주,생화네일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sinbanghwa Station,1주,서울맛집추천,신방화역맛집,쭈꾸미,돼지촌쭈꾸미,꾸이꾸이돼지촌쭈꾸미,쯔양먹방,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sinbanghwa Station,1주,조기교육,연날리기,생후28개월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sinbanghwa Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sinbanghwa Station,2주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
64,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sinbanghwa Station,2주,신방화역,신방화역맛집,신방화역생활맥주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sinbanghwa Station,2주,아아,아메리카노,돌아왔어요,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,
67,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Sinbanghwa Station,2주,커피맛이,이상해요,죄송합니다,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,
71,Sinbanghwa Station,2주,청춘다방,분식맛집,차돌떡볶이,만두강정,신방화역맛집,강서구맛집,떡볶이맛집,소확행,힐링,꿀잼,끊이지않는수다,,,,,,,,,,,,,,,,,,,,,
72,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Sinbanghwa Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sinbanghwa Station,2주,소고기,육회,눈꽃살,새우살,살치살,꽃등심,먹방,먹스타그램,진리,신방화역맛집,한우마당,좋은사람들과,,,,,,,,,,,,,,,,,,,,
76,Sinbanghwa Station,2주,강서구맛집,마산아구찜,신방화역맛집,존맛탱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Sinbanghwa Station,2주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌동맛집,가양역맛집,증미역뷰러펌,빛나러오소,퇴근,밤,좋반테러,여름,굿나잇,양천향교맛집,발산역네일,럽스타그램,소확행,데일리룩,신방화역맛집,방화동맛집,,,,,,,,,,,
79,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Sinbanghwa Station,2주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
82,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Sinbanghwa Station,2주,처갓집양념치킨,처갓집양념치킨방화점,치킨스타그램,슈프림양념치킨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Sinbanghwa Station,2주,마곡오리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Sinbanghwa Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Sinbanghwa Station,3주,첫줄,방화동맛집,방화동대박집,왕장군주먹고기,삼겹살,주먹고기,껍데기,갈매기살,친구,우정,소주,부부,육아,일상,소통,신방화역맛집,,,,,,,,,,,,,,,,
91,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Sinbanghwa Station,3주,김밥천국,돈까스,물냉면,김밥,갈비만두,참치김치찌개,쫄면,푸드파이터,먹스타그램,맛집,조꼰대맛집,신방화사거리맛집,신방화역맛집,마곡맛집,김밥천국에서,처음처럼,짜면물2컵붓고다시팔팔,행복이따로있나요,이런게행복이지,행복하자아프지말고,,,,,,,,,,,,
93,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Sinbanghwa Station,3주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,수제,초코칩쿠키,쿠키,베이킹,,,,
95,Sinbanghwa Station,3주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,마곡나루공원,,,,,,,,
96,Sinbanghwa Station,3주,스승의날,5월행사,맞팔,5월생일만7명,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Sinbanghwa Station,3주,낙지수구레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Sinbanghwa Station,3주,신방화역맛집,한우마당,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Sinbanghwa Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Sinbanghwa Station,3주,생화네일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Sinbanghwa Station,4주,에이치커피로스터방이,핫플레이스,신상카페,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Sinbanghwa Station,4주,빨간지붕커피,빨간지붕카페,빨간지붕,오늘,일상,카페,커피,맛집,수제청,착즙주스,청포도주스,수박주스,자몽에이드,신방화역맛집,방화역,강서구카페,마곡,김포공항맛집,cafe,coffee,redroof,맛집,존맛탱,,,,,,,,,
110,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Sinbanghwa Station,4주,제로페이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Sinbanghwa Station,4주,배달의민족,리뷰들,꽃마름샤브샤브마곡점,꽃마름마곡점,꽃마름,마곡맛집,신방화역맛집,배달맛집,,,,,,,,,,,,,,,,,,,,,,,,
116,Sinbanghwa Station,4주,맛집기행,기록,먹방스타그램,likeforlikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Sinbanghwa Station,4주,신방화역맛집,수초밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sinbanghwa Station,4주,찐이야,빛나러오소,강서구네일,강서구맛집,발산역맛집,마곡나루맛집,신방화역맛집,방화동맛집,까치산역맛집,우장산맛집,등촌동맛집,증미맛집,염창동맛집,좋반테러,좋아요,인스타그램,아점,브랙퍼스트,냥스타그램,럽스타그램,선팔맞팔,,,,,,,,,,,
121,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Sinbanghwa Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Sinbanghwa Station,4주,방화동맛집,신방화역맛집,이군닭한마리,마곡동맛집,푸딧세이,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sinbanghwa Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Sinbanghwa Station,5주,마곡오리,마곡오리고기,마곡나루맛집,마곡맛집,신방화역맛집,신방화맛집,방화동맛집,방화맛집,운동식단,운동맞팔,맛스타맞팔,먹스타맞팔,다이어트맞팔,,,,,,,,,,,,,,,,,,,
128,Sinbanghwa Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sinbanghwa Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
