,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sinbanpo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sinbanpo Station,3주,신반포역,고속터미널역,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sinbanpo Station,7주,월화당,월화당,서래마을맛집,만두맛집,만두국맛집,만두전골맛집,탕수육맛집,꿔바로우맛집,신반포역맛집,,,,,,,,,,,,,,,,,,,,,
12,Sinbanpo Station,7주,팔러엠,요거트맛집,서래마을맛집,다크찰리,넛츠페스티벌,클래식,로우팻,리치앤크림,서래마을카페,서래마을맛집,신반포역맛집,신반포맛집,신반포카페,요거트맛집,팔러엠,팔러엠요거트,parlorm,,,,,,,,,,,,,
13,Sinbanpo Station,11주,20200320,이솔라레스토랑,신반포역맛집,먹스타그램,버섯크림리조또,토마토파스타,샐러드,수프,식전빵,아이스크림,아아,맛있다맛있다아,,,,,,,,,,,,,,,,,,
14,Sinbanpo Station,12주,서래마을맛집,반포동맛집,신반포역맛집,강남맛집,콜키지프리,와인,영스타,,,,,,,,,,,,,,,,,,,,,,,
15,Sinbanpo Station,12주,자갈치식당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
