,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sinnonhyeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
