,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Sports Complex Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sports Complex Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sports Complex Station,0주,야구장맛집,초대창잠실새내점,잠실맛집,잠실새내맛집,잠실새내역맛집,종합운동장역맛집,롯데월드타워맛집,잠실운동장맛집,잠실양대창,잠실새내회식,대창맛집,양대창맛집,생방송투데이양대창,초대창,먹스타그램,,,,,,,,,,,,,,,,,,
3,Sports Complex Station,7주,걸작떡볶이,걸작떡볶이치킨,숯불킹떡볶이,맛없없,신천맛집,잠실새내맛집,걸작떡볶이치킨신천점,걸작떡볶이치킨잠실새내점,종합운동장맛집,잠실맛집,신천떡볶이,잠실새내떡볶이,종합운동장역맛집,먹스타그램,먹스타맞팔,좋아요반사,dm환영,협찬,떡볶이추천,떡볶이,차돌떡볶이,음식사진,음식리뷰,오늘뭐먹지,서울맛집,송파구맛집,선팔하면맞팔,위꼴,먹방,foodstagram,,,
4,Sports Complex Station,153주,잠실쌀국수,종합운동장역맛집,에머이,쌀국수,에머이쌀국수,볶음밥,롤만두,베트남쌀국수,고수,베트남쌀국수맛집,,,,,,,,,,,,,,,,,,,,,,,
5,Sports Complex Station,19주,k닥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sports Complex Station,44주,해주냉면,냉면,비빔냉면,잠실,짐실새내,종합운동장역맛집,냉면맛집,매운냉면,맛스타그램,먹스타그램,,,,,,,,,,,,,,,,,,,,,,,
7,Sports Complex Station,30주,맛스타그램,진원조닭한마리잠실신천점,잠실맛집,진원조닭한마리,잠실새내역맛집,종합운동장역맛집,신천역맛집,신천맛집,잠실밥집,잠실새내맛집,잠실동맛집,잠실회식,잠실회식장소,잠실맛집추천,,,,,,,,,,,,,,,,,,,
8,Sports Complex Station,40주,잠실맛집,진원조닭한마리,잠실동맛집,잠실회식,종합운동장역맛집,신천역맛집,잠실회식장소,잠실맛집,잠실맛집추천,진원조닭한마리잠실신천점,신천맛집,잠실밥집,잠실새내맛집,잠실새내역맛집,맛스타그램,닭스타그램,졸맛탱,푸드파이터,,,,,,,,,,,,,,,
9,Sports Complex Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sports Complex Station,0주,양대창맛집,초대창,양볶음밥,재난지원금,제로페이,네이버예약,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sports Complex Station,0주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sports Complex Station,0주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sports Complex Station,0주,연어사시미덮밥,잠실새내밥집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sports Complex Station,0주,화담,종합운동장역맛집,김치찌개,볏짚통삽겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sports Complex Station,0주,신천생태,신천역맛집,종합운동장역맛집,잠실새내역맛집,신천회식,신천점심,잠실맛집,신천회식장소,신천점심,신천점심식사,잠실생태,잠실생태찌개,맛스타그램,먹스타그램,종합운동장맛집,신천동맛집,잠실새내역점심,잠실회식장소,,,,,,,,,,,,,,,
16,Sports Complex Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sports Complex Station,0주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sports Complex Station,0주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sports Complex Station,0주,양대창맛집,초대창,뚱대창,재난지원금,제로페이,주차가능,네이버예약,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sports Complex Station,1주,연어로제파스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sports Complex Station,1주,양대창맛집,초대창,양대창전문점,이벤트,리그램,친구태그,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sports Complex Station,1주,도삭면공방,잠실맛집,도삭면맛집,종합운동장역맛집,점실새내역맛집,중식맛집,여름반팔티,자수로고작업,30수면티셔츠,챠콜그레이,단체티,식당유니폼,현대까운,현대까운사,,,,,,,,,,,,,,,,,,,
24,Sports Complex Station,1주,새우오일파스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sports Complex Station,1주,감바스알아히요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sports Complex Station,1주,치킨레드커리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sports Complex Station,1주,Repost,코세권,코이라멘,신천점,신천역점,잠실새내,잠실새내역맛집,해주냉면,종합운동장역맛집,신천맛집,신천역,라멘,라멘맛집,신천라멘,전국맛집,코세권,,,,,,,,,,,,,,,,,
28,Sports Complex Station,1주,코세권,코이라멘,신천점,신천역점,잠실새내,잠실새내역맛집,해주냉면,종합운동장역맛집,신천맛집,신천역,라멘,라멘맛집,신천라멘,전국맛집,코세권,,,,,,,,,,,,,,,,,,
29,Sports Complex Station,1주,양대창맛집,초대창,양대창전문점,대창,막창,특양구이,대창맛집,초대창문래점,초대창잠실새내점,,,,,,,,,,,,,,,,,,,,,,,,
30,Sports Complex Station,1주,양대창맛집,초대창,네이버예약,재난지원금,제로페이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sports Complex Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sports Complex Station,1주,삽다리손칼국수,모둠조개샤브,샤브샤브,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sports Complex Station,1주,삽다리손칼국수,모둠조개샤브,샤브샤브,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sports Complex Station,1주,l4l,wine,fff,ootd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
