,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Yeouido Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yeouido Station,50주,비엣남,베트남음식점,여의도맛집,모듬수육전골,러우,왕새우돼지고기볶음밥,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Yeouido Station,21주,삼육공,여의도맛집,여의도역맛집,마포맛집,영등포맛집,삼겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yeouido Station,7주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yeouido Station,10주,삼육공,여의도맛집,여의도역맛집,마포맛집,영등포맛집,삼겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yeouido Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yeouido Station,10주,지웅이가좋아한다,sashimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Yeouido Station,6주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yeouido Station,13주,여의도맛집,여의도한강공원,여의도카페,여의도역맛집,여의도역카페,샛강역맛집,여의동,ifc몰맛집,여의도ifc몰,신길동맛집,신길동카페,,,,,,,,,,,,,,,,,,,,,
9,Yeouido Station,0주,오투테라스,오투타워,02terrace,02tower,여의도맛집,여의도점심,여의도데이트,여의도회식,여의도역맛집,여의도모임,먹스타그램,맛스타그램,여의도,여의도남산돈까스,101번지남산돈까스,남산돈까스,원조왕돈까스,매운돈까스,치즈돈까스,수제왕돈까스,,,,,,,,,,,,
10,Yeouido Station,0주,jmt,이연복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Yeouido Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,성수마카롱,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,
12,Yeouido Station,0주,농장,농사,귀농,인스타,데일리,일상,산삼골,여의도맛집,여백맛집,여의도역맛집,여의도맛집추천,셀프동영상,브이로그,인친,소통,좋반,첫줄,첫줄반사,,,,,,,,,,,,,,
