,station,name,category,review
0,Gaehwa Station,개화산,"산,고개",214
1,Gaehwa Station,방화근린공원,"도시,테마공원",121
2,Gaehwa Station,힐링체험농원,"관광농원,팜스테이",14
3,Gaehwa Station,새싹어린이교통공원,근린공원,10
4,Gaehwa Station,강서둘레길1코스(개화산숲길),도보코스,8
5,Gaehwa Station,개화산해맞이공원,"도시,테마공원",5
6,Gaehwa Station,풍산심씨문정공파묘역,"릉,묘,총",3
7,Gaehwa Station,김포개화산지구전투위령비,기념물,3
8,Gaehwa Station,가을단풍길(방화근린공원내산책로),계절거리,2
9,Gaehwa Station,느티공원,근린공원,2
10,Gaehwa Station,디지털한글박물관,박물관,1
11,Gaehwa Station,민속놀이마당,근린공원,1
12,Gaehwa Station,유아숲체험장,체험여행,1
13,Gaehwa Station,약사사삼층석탑,기념물,1
14,Gaehwa Station,산내들관광여행사,관광안내소,0
15,Gaehwa Station,해리스디자인,전시관,0
16,Gaehwa Station,우리말꿈터,"관람,체험",0
17,Gaehwa Station,역사클릭,"관람,체험",0
18,Gaehwa Station,은행나무마을마당,근린공원,0
19,Gimpo Airport Station,김포공항 전망대,전망대,124
20,Gimpo Airport Station,롯데몰 김포공항점스카이파크,"도시,테마공원",52
21,Gimpo Airport Station,국립항공박물관,박물관,12
22,Gimpo Airport Station,근린공원,근린공원,6
23,Gimpo Airport Station,김포공항관광안내소,관광안내소,4
24,Gimpo Airport Station,김포국제공항제주관광홍보센터,관광안내소,3
25,Gimpo Airport Station,공항종합안내 김포국제공항국내선청사점C,관광안내소,2
26,Gimpo Airport Station,공항종합안내 김포국제공항국내선청사점,관광안내소,2
27,Gimpo Airport Station,김포공항관광정보센터,관광안내소,1
28,Gimpo Airport Station,공항종합안내 김포국제공항국내선청사점B,관광안내소,1
29,Gimpo Airport Station,김포공항국내선청사공항전망대,전망대,1
30,Gimpo Airport Station,제주관광홍보센터안내 김포국제공항국내선청사점,관광안내소,1
31,Gimpo Airport Station,호텔안내 김포국제공항국제선청사점,관광안내소,0
32,Gimpo Airport Station,드라마[응답하라1988]촬영지,촬영장소,0
33,Airport Market Station,김포공항 전망대,전망대,124
34,Airport Market Station,롯데몰 김포공항점스카이파크,"도시,테마공원",52
35,Airport Market Station,국립항공박물관,박물관,12
36,Airport Market Station,새싹어린이교통공원,근린공원,10
37,Airport Market Station,옹기골근린공원,근린공원,7
38,Airport Market Station,근린공원,근린공원,6
39,Airport Market Station,마곡나루근린공원,근린공원,4
40,Airport Market Station,김포공항관광안내소,관광안내소,4
41,Airport Market Station,김포국제공항제주관광홍보센터,관광안내소,3
42,Airport Market Station,공항종합안내 김포국제공항국내선청사점C,관광안내소,2
43,Airport Market Station,공항종합안내 김포국제공항국내선청사점,관광안내소,2
44,Airport Market Station,김포공항관광정보센터,관광안내소,1
45,Airport Market Station,공항종합안내 김포국제공항국내선청사점B,관광안내소,1
46,Airport Market Station,김포공항국내선청사공항전망대,전망대,1
47,Airport Market Station,제주관광홍보센터안내 김포국제공항국내선청사점,관광안내소,1
48,Airport Market Station,산내들관광여행사,관광안내소,0
49,Airport Market Station,호텔안내 김포국제공항국제선청사점,관광안내소,0
50,Airport Market Station,근린공원,근린공원,0
51,Airport Market Station,예솔어린이공원,자연공원,0
52,Sinbanghwa Station,롯데몰 김포공항점스카이파크,"도시,테마공원",52
53,Sinbanghwa Station,마곡광장,근린공원,18
54,Sinbanghwa Station,국립항공박물관,박물관,12
55,Sinbanghwa Station,서남물재생센터공원,근린공원,10
56,Sinbanghwa Station,발산근린공원,근린공원,10
57,Sinbanghwa Station,새싹어린이교통공원,근린공원,10
58,Sinbanghwa Station,옹기골근린공원,근린공원,7
59,Sinbanghwa Station,정곡소공원,근린공원,6
60,Sinbanghwa Station,근린공원,근린공원,6
61,Sinbanghwa Station,꿩고개공원,"도시,테마공원",6
62,Sinbanghwa Station,마곡나루근린공원,근린공원,4
63,Sinbanghwa Station,풍산심씨문정공파묘역,"릉,묘,총",3
64,Sinbanghwa Station,가을단풍길(서남환경공원내산책로),계절거리,3
65,Sinbanghwa Station,공항종합안내 김포국제공항국내선청사점C,관광안내소,2
66,Sinbanghwa Station,서울식물원방문자센터,부속시설,2
67,Sinbanghwa Station,느티공원,근린공원,2
68,Sinbanghwa Station,공항종합안내 김포국제공항국내선청사점,관광안내소,2
69,Sinbanghwa Station,디지털한글박물관,박물관,1
70,Sinbanghwa Station,공항종합안내 김포국제공항국내선청사점B,관광안내소,1
71,Sinbanghwa Station,강서둘레길2코스(공원길),도보코스,1
72,Magoknaru Station,서울식물원,"식물원,수목원",999+
73,Magoknaru Station,서울식물원온실,부속시설,419
74,Magoknaru Station,마곡광장,근린공원,18
75,Magoknaru Station,서울식물원어린이정원학교,부속시설,12
76,Magoknaru Station,에코롱롱큐브,전시관,12
77,Magoknaru Station,서울식물원주제원,부속시설,8
78,Magoknaru Station,서울식물원식물문화센터,부속시설,8
79,Magoknaru Station,서울식물원숲문화학교,부속시설,6
80,Magoknaru Station,마곡나루근린공원,근린공원,4
81,Magoknaru Station,서울식물원방문자센터,부속시설,2
82,Magoknaru Station,서울식물원습지원,부속시설,1
83,Magoknaru Station,서울식물원티하우스,부속시설,0
84,Magoknaru Station,서울식물원LG문화센터,부속시설,0
85,Magoknaru Station,예솔어린이공원,자연공원,0
86,Yangcheonhyanggyo Station,양천향교역문화관광홍보관,관광안내소,0
87,Gayang Station,제주도탐라영재관,전시관,7
88,Gayang Station,서낭당근린공원,"도시,테마공원",4
89,Gayang Station,등서공원,근린공원,0
90,Gayang Station,경화실,전시관,0
91,Gayang Station,코끼리공원,근린공원,0
92,Gayang Station,가양동문화공원,근린공원,0
93,Gayang Station,가을단풍길(등양초교앞길),계절거리,0
94,Jeungmi Station,등마루공원,근린공원,5
95,Jeungmi Station,SDU 갤러리,전시관,0
96,Jeungmi Station,등서공원,근린공원,0
97,Jeungmi Station,비둘기공원,근린공원,0
98,Jeungmi Station,등마루근린공원(2022년예정),근린공원,0
99,Deungchon Station,백합공원,근린공원,5
100,Deungchon Station,능안공원,근린공원,1
101,Deungchon Station,백석마을마당,근린공원,0
102,Yeomchang Station,용왕산,"산,고개",63
103,Yeomchang Station,백합공원,근린공원,5
104,Yeomchang Station,양천둘레길(산림형코스-용왕산구간),올레둘레길,4
105,Sinmok-dong Station,과자박물관 스위트팩토리,박물관,273
106,Sinmok-dong Station,파리공원,"도시,테마공원",138
107,Sinmok-dong Station,어반플루토,전시관,79
108,Sinmok-dong Station,용왕산,"산,고개",63
109,Sinmok-dong Station,용왕산근린공원,근린공원,26
110,Sinmok-dong Station,양화교인공폭포,폭포,18
111,Sinmok-dong Station,목동근린공원,근린공원,10
112,Sinmok-dong Station,목마공원,근린공원,5
113,Sinmok-dong Station,양천둘레길(산림형코스-용왕산구간),올레둘레길,4
114,Sinmok-dong Station,양화한강공원농구장,부속시설,4
115,Sinmok-dong Station,장미공원,근린공원,1
116,Sinmok-dong Station,평화의거리,문화거리,0
117,Sinmok-dong Station,꽃향기와새소리의거리,도보코스,0
118,Sinmok-dong Station,배움의거리,문화거리,0
119,Sinmok-dong Station,양정고등학교100주년기념관,"기념관,생가",0
120,Sinmok-dong Station,청소년문화거리,"공연,문화의거리",0
121,Sinmok-dong Station,용왕산유아숲체험원,"관람,체험",0
122,Sinmok-dong Station,양천녹색환경교육센터,전시관,0
123,Sinmok-dong Station,용왕산공원서울유아숲체험장,"관람,체험",0
124,Sinmok-dong Station,열린마을공원,근린공원,0
125,Seonyudo Station,과자박물관 스위트팩토리,박물관,273
126,Seonyudo Station,어반플루토,전시관,79
127,Dangsan Station,어반플루토,전시관,79
128,Dangsan Station,영등포구곤충체험학습장,"관람,체험",32
129,Dangsan Station,서울마리나파티라운지,"관리,안내",17
130,Dangsan Station,양화한강공원놀이터,부속시설,2
131,Dangsan Station,당산먹자골목,먹자거리,1
132,Dangsan Station,교육더하기,"관람,체험",0
133,Dangsan Station,TCC스틸50주년기념관,"기념관,생가",0
134,Dangsan Station,당산역소공원,근린공원,0
135,Dangsan Station,당산동부군당,문화재,0
136,National Assembly Building Station,여의도공원,근린공원,999+
137,National Assembly Building Station,여의도공원문화의마당,부속시설,325
138,National Assembly Building Station,여의도공원태극기게양대,부속시설,12
139,National Assembly Building Station,여의도공원관리사무소,부속시설,3
140,National Assembly Building Station,여의도범퍼카,부속시설,1
141,National Assembly Building Station,여의도한강공원축구장,부속시설,1
142,National Assembly Building Station,여의도한강공원샛강생태공원창포원,부속시설,0
143,National Assembly Building Station,사단법인 전통식생활 실천운동 본부,"관람,체험",0
144,National Assembly Building Station,회전구들,문화재,0
145,National Assembly Building Station,신나는 창의적 체험학습 도로시,체험여행,0
146,National Assembly Building Station,가을단풍길(여의공원로),계절거리,0
147,National Assembly Building Station,별별시장 별별여행,"광고,마케팅",0
148,National Assembly Building Station,드라마[태양의후예]촬영지,촬영장소,0
149,Yeouido Station,여의도공원,근린공원,999+
150,Yeouido Station,여의도공원문화의마당,부속시설,325
151,Yeouido Station,SeMA 벙커,"관람,체험",76
152,Yeouido Station,여의도공원태극기게양대,부속시설,12
153,Yeouido Station,여의도계절광장,시민공원,2
154,Yeouido Station,여의도범퍼카,부속시설,1
155,Yeouido Station,힐스테이트 여.의.도 모.델.하.우.스,전시관,0
156,Saetgang Station,자매공원,"도시,테마공원",87
157,Saetgang Station,여의도한강공원샛강생태공원여의광장,부속시설,6
158,Saetgang Station,여의도한강공원샛강생태공원수변광장,부속시설,4
159,Saetgang Station,여의도한강공원샛강생태공원야생초화원,부속시설,0
160,Saetgang Station,Youth of Great Korea,체험여행,0
161,Saetgang Station,여의도한강공원샛강생태공원생태연못,부속시설,0
162,Noryangjin Station,노량진컵밥거리,먹자거리,999+
163,Noryangjin Station,철도시발지,기념물,1
164,Noryangjin Station,동작주차공원관리사무소,"도시,테마공원",0
165,Noryangjin Station,드라마[엄마]촬영지,촬영장소,0
166,Nodeul Station,용양봉저정,문화재,19
167,Nodeul Station,노들나루공원족구장,부속시설,0
168,Heukseok Station,효사정,부속시설,84
169,Heukseok Station,효사정공원,자연공원,11
170,Heukseok Station,평화의소녀상,기념물,4
171,Heukseok Station,동작충효길3코스(한강나들길),도보코스,3
172,Heukseok Station,원불교100년기념관,"기념관,생가",1
