,station,name,review,category,link
0,Singil Oncheon Station,홍익돈까스 신길온천역점,51,돈가스,https://store.naver.com/restaurants/detail?entry=ple&id=37350409&query=%ED%99%8D%EC%9D%B5%EB%8F%88%EA%B9%8C%EC%8A%A4%20%EC%8B%A0%EA%B8%B8%EC%98%A8%EC%B2%9C%EC%97%AD%EC%A0%90
1,Singil Oncheon Station,투썸플레이스 신길온천역점,6,카페,https://store.naver.com/restaurants/detail?entry=ple&id=37459756&query=%ED%88%AC%EC%8D%B8%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%20%EC%8B%A0%EA%B8%B8%EC%98%A8%EC%B2%9C%EC%97%AD%EC%A0%90
2,Jeongwang Station,역전한우곱창 정왕역점,294,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=1920555526&query=%EC%97%AD%EC%A0%84%ED%95%9C%EC%9A%B0%EA%B3%B1%EC%B0%BD%20%EC%A0%95%EC%99%95%EC%97%AD%EC%A0%90
3,Jeongwang Station,자금성,222,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=37361944&query=%EC%9E%90%EA%B8%88%EC%84%B1
4,Jeongwang Station,인생극장 정왕점,198,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=36368970&query=%EC%9D%B8%EC%83%9D%EA%B7%B9%EC%9E%A5%20%EC%A0%95%EC%99%95%EC%A0%90
5,Jeongwang Station,스시오야붕,147,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=101541891&query=%EC%8A%A4%EC%8B%9C%EC%98%A4%EC%95%BC%EB%B6%95
6,Jeongwang Station,에스프레소플래닛,118,카페,https://store.naver.com/restaurants/detail?entry=ple&id=98504029&query=%EC%97%90%EC%8A%A4%ED%94%84%EB%A0%88%EC%86%8C%ED%94%8C%EB%9E%98%EB%8B%9B
7,Jeongwang Station,제주할망족발보쌈,88,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=37470897&query=%EC%A0%9C%EC%A3%BC%ED%95%A0%EB%A7%9D%EC%A1%B1%EB%B0%9C%EB%B3%B4%EC%8C%88
8,Jeongwang Station,등초마라탕 본점,60,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=1639652238&query=%EB%93%B1%EC%B4%88%EB%A7%88%EB%9D%BC%ED%83%95%20%EB%B3%B8%EC%A0%90
9,Jeongwang Station,팔도실비집 정왕역점,51,포장마차,https://store.naver.com/restaurants/detail?entry=ple&id=937472682&query=%ED%8C%94%EB%8F%84%EC%8B%A4%EB%B9%84%EC%A7%91%20%EC%A0%95%EC%99%95%EC%97%AD%EC%A0%90
10,Jeongwang Station,무한생고기제작소,42,소고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=440642136&query=%EB%AC%B4%ED%95%9C%EC%83%9D%EA%B3%A0%EA%B8%B0%EC%A0%9C%EC%9E%91%EC%86%8C
11,Jeongwang Station,탕화쿵푸마라탕 시흥정왕점,42,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=1551090335&query=%ED%83%95%ED%99%94%EC%BF%B5%ED%91%B8%EB%A7%88%EB%9D%BC%ED%83%95%20%EC%8B%9C%ED%9D%A5%EC%A0%95%EC%99%95%EC%A0%90
12,Jeongwang Station,서울냉면,41,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=17952250&query=%EC%84%9C%EC%9A%B8%EB%83%89%EB%A9%B4
13,Jeongwang Station,신전떡볶이 시흥정왕점,40,분식,https://store.naver.com/restaurants/detail?entry=ple&id=35877472&query=%EC%8B%A0%EC%A0%84%EB%96%A1%EB%B3%B6%EC%9D%B4%20%EC%8B%9C%ED%9D%A5%EC%A0%95%EC%99%95%EC%A0%90
14,Jeongwang Station,치칵치칵 정왕역점,38,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=1080513791&query=%EC%B9%98%EC%B9%B5%EC%B9%98%EC%B9%B5%20%EC%A0%95%EC%99%95%EC%97%AD%EC%A0%90
15,Jeongwang Station,무봉리토종순대국 시화정왕점,37,"순대,순댓국",https://store.naver.com/restaurants/detail?entry=ple&id=38231511&query=%EB%AC%B4%EB%B4%89%EB%A6%AC%ED%86%A0%EC%A2%85%EC%88%9C%EB%8C%80%EA%B5%AD%20%EC%8B%9C%ED%99%94%EC%A0%95%EC%99%95%EC%A0%90
16,Jeongwang Station,모박사부대찌개 시화점,34,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=18254747&query=%EB%AA%A8%EB%B0%95%EC%82%AC%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EC%8B%9C%ED%99%94%EC%A0%90
17,Jeongwang Station,정남진한우곰탕,31,"곰탕,설렁탕",https://store.naver.com/restaurants/detail?entry=ple&id=20070923&query=%EC%A0%95%EB%82%A8%EC%A7%84%ED%95%9C%EC%9A%B0%EA%B3%B0%ED%83%95
18,Jeongwang Station,한방전주콩나물국밥 정왕점,30,국밥,https://store.naver.com/restaurants/detail?entry=ple&id=37274994&query=%ED%95%9C%EB%B0%A9%EC%A0%84%EC%A3%BC%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD%EB%B0%A5%20%EC%A0%95%EC%99%95%EC%A0%90
19,Jeongwang Station,뽕의전쟁,29,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=1540548567&query=%EB%BD%95%EC%9D%98%EC%A0%84%EC%9F%81
20,Jeongwang Station,육촌,26,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1827635461&query=%EC%9C%A1%EC%B4%8C
21,Jeongwang Station,대관령목장,23,한식,https://store.naver.com/restaurants/detail?entry=ple&id=35681014&query=%EB%8C%80%EA%B4%80%EB%A0%B9%EB%AA%A9%EC%9E%A5
22,Jeongwang Station,양푼이국수,21,국수,https://store.naver.com/restaurants/detail?entry=ple&id=21775327&query=%EC%96%91%ED%91%BC%EC%9D%B4%EA%B5%AD%EC%88%98
23,Jeongwang Station,몽땅생고기 무한삼겹,18,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=37683344&query=%EB%AA%BD%EB%95%85%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EB%AC%B4%ED%95%9C%EC%82%BC%EA%B2%B9
24,Jeongwang Station,월남스키부대찌개,18,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=17938232&query=%EC%9B%94%EB%82%A8%EC%8A%A4%ED%82%A4%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C
25,Jeongwang Station,나노갈매기 시흥정왕점,14,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=34098403&query=%EB%82%98%EB%85%B8%EA%B0%88%EB%A7%A4%EA%B8%B0%20%EC%8B%9C%ED%9D%A5%EC%A0%95%EC%99%95%EC%A0%90
26,Jeongwang Station,술촌,14,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1647255767&query=%EC%88%A0%EC%B4%8C
27,Jeongwang Station,CM치킨,14,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=36637843&query=CM%EC%B9%98%ED%82%A8
28,Jeongwang Station,배스킨라빈스 시흥정왕역,12,아이스크림,https://store.naver.com/restaurants/detail?entry=ple&id=34994562&query=%EB%B0%B0%EC%8A%A4%ED%82%A8%EB%9D%BC%EB%B9%88%EC%8A%A4%20%EC%8B%9C%ED%9D%A5%EC%A0%95%EC%99%95%EC%97%AD
29,Jeongwang Station,황소곱창막창,11,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=37318122&query=%ED%99%A9%EC%86%8C%EA%B3%B1%EC%B0%BD%EB%A7%89%EC%B0%BD
30,Jeongwang Station,쪽땡 정왕본점,11,한식,https://store.naver.com/restaurants/detail?entry=ple&id=35712849&query=%EC%AA%BD%EB%95%A1%20%EC%A0%95%EC%99%95%EB%B3%B8%EC%A0%90
31,Jeongwang Station,삼국진돼지국밥,11,국밥,https://store.naver.com/restaurants/detail?entry=ple&id=35516552&query=%EC%82%BC%EA%B5%AD%EC%A7%84%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5
32,Jeongwang Station,닭해진미,11,"백숙,삼계탕",https://store.naver.com/restaurants/detail?entry=ple&id=37427449&query=%EB%8B%AD%ED%95%B4%EC%A7%84%EB%AF%B8
