,station,name,category,review,link
0,Gyeongma Park Station,서해숯불민물장어,"장어,먹장어요리",24,https://store.naver.com/restaurants/detail?entry=ple&id=340272516&query=%EC%84%9C%ED%95%B4%EC%88%AF%EB%B6%88%EB%AF%BC%EB%AC%BC%EC%9E%A5%EC%96%B4
1,Gojan Station,어쩌다외출,"카페,디저트",12,https://store.naver.com/restaurants/detail?entry=ple&id=1604626740&query=%EC%96%B4%EC%A9%8C%EB%8B%A4%EC%99%B8%EC%B6%9C
2,Geumjeong Station,탐라촌 직영점,돼지고기구이,933,https://store.naver.com/restaurants/detail?entry=ple&id=36139722&query=%ED%83%90%EB%9D%BC%EC%B4%8C%20%EC%A7%81%EC%98%81%EC%A0%90
3,Geumjeong Station,준식당,돼지고기구이,525,https://store.naver.com/restaurants/detail?entry=ple&id=286226762&query=%EC%A4%80%EC%8B%9D%EB%8B%B9
4,Geumjeong Station,고기창고 금정점,"육류,고기요리",260,https://store.naver.com/restaurants/detail?entry=ple&id=37667331&query=%EA%B3%A0%EA%B8%B0%EC%B0%BD%EA%B3%A0%20%EA%B8%88%EC%A0%95%EC%A0%90
5,Geumjeong Station,더맛있는족발보쌈 금정점,"족발,보쌈",215,https://store.naver.com/restaurants/detail?entry=ple&id=1016651744&query=%EB%8D%94%EB%A7%9B%EC%9E%88%EB%8A%94%EC%A1%B1%EB%B0%9C%EB%B3%B4%EC%8C%88%20%EA%B8%88%EC%A0%95%EC%A0%90
6,Geumjeong Station,종로제주아방 금정역점,돼지고기구이,212,https://store.naver.com/restaurants/detail?entry=ple&id=37049904&query=%EC%A2%85%EB%A1%9C%EC%A0%9C%EC%A3%BC%EC%95%84%EB%B0%A9%20%EA%B8%88%EC%A0%95%EC%97%AD%EC%A0%90
7,Geumjeong Station,복아구찜해물탕원조집,"매운탕,해물탕",206,https://store.naver.com/restaurants/detail?entry=ple&id=31234184&query=%EB%B3%B5%EC%95%84%EA%B5%AC%EC%B0%9C%ED%95%B4%EB%AC%BC%ED%83%95%EC%9B%90%EC%A1%B0%EC%A7%91
8,Geumjeong Station,완차이,요리주점,186,https://store.naver.com/restaurants/detail?entry=ple&id=1571926158&query=%EC%99%84%EC%B0%A8%EC%9D%B4
9,Geumjeong Station,정통집 금정역점,돼지고기구이,146,https://store.naver.com/restaurants/detail?entry=ple&id=1065307279&query=%EC%A0%95%ED%86%B5%EC%A7%91%20%EA%B8%88%EC%A0%95%EC%97%AD%EC%A0%90
10,Geumjeong Station,장어가,"장어,먹장어요리",133,https://store.naver.com/restaurants/detail?entry=ple&id=97633777&query=%EC%9E%A5%EC%96%B4%EA%B0%80
11,Geumjeong Station,이향원,중식당,128,https://store.naver.com/restaurants/detail?entry=ple&id=18998005&query=%EC%9D%B4%ED%96%A5%EC%9B%90
12,Geumjeong Station,미스사이공 금정역점,베트남음식,125,https://store.naver.com/restaurants/detail?entry=ple&id=1524574991&query=%EB%AF%B8%EC%8A%A4%EC%82%AC%EC%9D%B4%EA%B3%B5%20%EA%B8%88%EC%A0%95%EC%97%AD%EC%A0%90
13,Geumjeong Station,복성루,중식당,117,https://store.naver.com/restaurants/detail?entry=ple&id=37537820&query=%EB%B3%B5%EC%84%B1%EB%A3%A8
