,station,name,category,review,link
0,Jangam Station,니하오팬더,중식당,38,https://store.naver.com/restaurants/detail?entry=ple&id=1583477261&query=%EB%8B%88%ED%95%98%EC%98%A4%ED%8C%AC%EB%8D%94
1,Jangam Station,백두설렁탕,"곰탕,설렁탕",24,https://store.naver.com/restaurants/detail?entry=ple&id=38275482&query=%EB%B0%B1%EB%91%90%EC%84%A4%EB%A0%81%ED%83%95
2,Jangam Station,신바람난찐빵집장암점,종합분식,2,https://store.naver.com/restaurants/detail?entry=ple&id=31630022&query=%EC%8B%A0%EB%B0%94%EB%9E%8C%EB%82%9C%EC%B0%90%EB%B9%B5%EC%A7%91%EC%9E%A5%EC%95%94%EC%A0%90
3,Jangam Station,착한식당,한식,0,https://store.naver.com/restaurants/detail?entry=ple&id=1611059665&query=%EC%B0%A9%ED%95%9C%EC%8B%9D%EB%8B%B9
4,Dobongsan Station,도봉산1번지,한식,4,https://store.naver.com/restaurants/detail?entry=ple&id=20927323&query=%EB%8F%84%EB%B4%89%EC%82%B01%EB%B2%88%EC%A7%80
5,Dobongsan Station,창포원북카페비비다이어리,"카페,디저트",4,https://store.naver.com/restaurants/detail?entry=ple&id=1660362527&query=%EC%B0%BD%ED%8F%AC%EC%9B%90%EB%B6%81%EC%B9%B4%ED%8E%98%EB%B9%84%EB%B9%84%EB%8B%A4%EC%9D%B4%EC%96%B4%EB%A6%AC
6,Dobongsan Station,와플대학 도봉산역캠퍼스,와플,4,https://store.naver.com/restaurants/detail?entry=ple&id=1428574316&query=%EC%99%80%ED%94%8C%EB%8C%80%ED%95%99%20%EB%8F%84%EB%B4%89%EC%82%B0%EC%97%AD%EC%BA%A0%ED%8D%BC%EC%8A%A4
7,Dobongsan Station,오솔길,한식,2,https://store.naver.com/restaurants/detail?entry=ple&id=1081264926&query=%EC%98%A4%EC%86%94%EA%B8%B8
8,Dobongsan Station,한베포차,베트남음식,2,https://store.naver.com/restaurants/detail?entry=ple&id=1557270908&query=%ED%95%9C%EB%B2%A0%ED%8F%AC%EC%B0%A8
9,Dobongsan Station,배고파,베이커리,2,https://store.naver.com/restaurants/detail?entry=ple&id=37820080&query=%EB%B0%B0%EA%B3%A0%ED%8C%8C
10,Dobongsan Station,미미네집,포장마차,1,https://store.naver.com/restaurants/detail?entry=ple&id=1766823413&query=%EB%AF%B8%EB%AF%B8%EB%84%A4%EC%A7%91
11,Dobongsan Station,이가네 팔도왕순대,"순대,순댓국",1,https://store.naver.com/restaurants/detail?entry=ple&id=1404994349&query=%EC%9D%B4%EA%B0%80%EB%84%A4%20%ED%8C%94%EB%8F%84%EC%99%95%EC%88%9C%EB%8C%80
12,Dobongsan Station,흥부네박집,한식,1,https://store.naver.com/restaurants/detail?entry=ple&id=19419005&query=%ED%9D%A5%EB%B6%80%EB%84%A4%EB%B0%95%EC%A7%91
13,Dobongsan Station,선녀네칼국수,"칼국수,만두",1,https://store.naver.com/restaurants/detail?entry=ple&id=1475680436&query=%EC%84%A0%EB%85%80%EB%84%A4%EC%B9%BC%EA%B5%AD%EC%88%98
14,Dobongsan Station,산길,한식,1,https://store.naver.com/restaurants/detail?entry=ple&id=18633197&query=%EC%82%B0%EA%B8%B8
15,Dobongsan Station,서울장어수산,"장어,먹장어요리",1,https://store.naver.com/restaurants/detail?entry=ple&id=1883360075&query=%EC%84%9C%EC%9A%B8%EC%9E%A5%EC%96%B4%EC%88%98%EC%82%B0
16,Dobongsan Station,우리집산꼼장어순대국,한식,1,https://store.naver.com/restaurants/detail?entry=ple&id=1678054121&query=%EC%9A%B0%EB%A6%AC%EC%A7%91%EC%82%B0%EA%BC%BC%EC%9E%A5%EC%96%B4%EC%88%9C%EB%8C%80%EA%B5%AD
17,Dobongsan Station,도봉산산내들,한식,0,https://store.naver.com/restaurants/detail?entry=ple&id=1808558643&query=%EB%8F%84%EB%B4%89%EC%82%B0%EC%82%B0%EB%82%B4%EB%93%A4
18,Dobongsan Station,현옥식품,한식,0,https://store.naver.com/restaurants/detail?entry=ple&id=1121839560&query=%ED%98%84%EC%98%A5%EC%8B%9D%ED%92%88
19,Dobongsan Station,도봉산 만남의광장,"카페,디저트",0,https://store.naver.com/restaurants/detail?entry=ple&id=1136082677&query=%EB%8F%84%EB%B4%89%EC%82%B0%20%EB%A7%8C%EB%82%A8%EC%9D%98%EA%B4%91%EC%9E%A5
