,station,name,review,category,link
0,Amsa,유로스타커피,989,카페,https://store.naver.com/restaurants/detail?entry=ple&id=31906082&query=%EC%9C%A0%EB%A1%9C%EC%8A%A4%ED%83%80%EC%BB%A4%ED%94%BC
1,Amsa,용문객잔,325,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=34228612&query=%EC%9A%A9%EB%AC%B8%EA%B0%9D%EC%9E%94
2,Amsa,이토야,320,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=1624542413&query=%EC%9D%B4%ED%86%A0%EC%95%BC
3,Amsa,하에레츠,296,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=31751996&query=%ED%95%98%EC%97%90%EB%A0%88%EC%B8%A0
4,Amsa,김펄펄배달식당,285,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=1528827797&query=%EA%B9%80%ED%8E%84%ED%8E%84%EB%B0%B0%EB%8B%AC%EC%8B%9D%EB%8B%B9
5,Amsa,동신면가,261,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=36504801&query=%EB%8F%99%EC%8B%A0%EB%A9%B4%EA%B0%80
6,Amsa,풍촌코다리네 본점,225,"해물,생선요리",https://store.naver.com/restaurants/detail?entry=ple&id=38309857&query=%ED%92%8D%EC%B4%8C%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%84%A4%20%EB%B3%B8%EC%A0%90
7,Amsa,한왕스1980 본점,221,돈가스,https://store.naver.com/restaurants/detail?entry=ple&id=19935973&query=%ED%95%9C%EC%99%95%EC%8A%A41980%20%EB%B3%B8%EC%A0%90
8,Amsa,솜솜베이커리,220,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=62010881&query=%EC%86%9C%EC%86%9C%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC
9,Amsa,지리산왕재봉흑돼지,218,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=13558706&query=%EC%A7%80%EB%A6%AC%EC%82%B0%EC%99%95%EC%9E%AC%EB%B4%89%ED%9D%91%EB%8F%BC%EC%A7%80
10,Amsa,북경반점,205,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=18650463&query=%EB%B6%81%EA%B2%BD%EB%B0%98%EC%A0%90
11,Amsa,평상시,185,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1453606338&query=%ED%8F%89%EC%83%81%EC%8B%9C
12,Amsa,빙삼,160,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1164647931&query=%EB%B9%99%EC%82%BC
13,Amsa,돌판위에곱창,148,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=193279782&query=%EB%8F%8C%ED%8C%90%EC%9C%84%EC%97%90%EA%B3%B1%EC%B0%BD
14,Amsa,카페하루,147,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1055501114&query=%EC%B9%B4%ED%8E%98%ED%95%98%EB%A3%A8
15,Amsa,파트원나이스,133,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1724782036&query=%ED%8C%8C%ED%8A%B8%EC%9B%90%EB%82%98%EC%9D%B4%EC%8A%A4
16,Amsa,119닭발,125,닭발,https://store.naver.com/restaurants/detail?entry=ple&id=13528642&query=119%EB%8B%AD%EB%B0%9C
17,Amsa,카페그라운드,123,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=37880040&query=%EC%B9%B4%ED%8E%98%EA%B7%B8%EB%9D%BC%EC%9A%B4%EB%93%9C
18,Amsa,대박집 천호점,114,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=18922751&query=%EB%8C%80%EB%B0%95%EC%A7%91%20%EC%B2%9C%ED%98%B8%EC%A0%90
19,Amsa,서초면옥 천호본점,112,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=37638193&query=%EC%84%9C%EC%B4%88%EB%A9%B4%EC%98%A5%20%EC%B2%9C%ED%98%B8%EB%B3%B8%EC%A0%90
20,Amsa,하남돼지집 암사점,96,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=37097712&query=%ED%95%98%EB%82%A8%EB%8F%BC%EC%A7%80%EC%A7%91%20%EC%95%94%EC%82%AC%EC%A0%90
21,Amsa,도쿄블루스,57,이자카야,https://store.naver.com/restaurants/detail?entry=ple&id=1040293872&query=%EB%8F%84%EC%BF%84%EB%B8%94%EB%A3%A8%EC%8A%A4
22,Amsa,초롱이고모부대찌개,57,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=11719795&query=%EC%B4%88%EB%A1%B1%EC%9D%B4%EA%B3%A0%EB%AA%A8%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C
23,Amsa,BBQ치킨 암사본점,57,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=37069938&query=BBQ%EC%B9%98%ED%82%A8%20%EC%95%94%EC%82%AC%EB%B3%B8%EC%A0%90
24,Amsa,BHC치킨 암사점,56,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=20605008&query=BHC%EC%B9%98%ED%82%A8%20%EC%95%94%EC%82%AC%EC%A0%90
25,Amsa,빨간쭈꾸미 본점,56,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=36084526&query=%EB%B9%A8%EA%B0%84%EC%AD%88%EA%BE%B8%EB%AF%B8%20%EB%B3%B8%EC%A0%90
26,Amsa,옛날불고기,56,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=18629039&query=%EC%98%9B%EB%82%A0%EB%B6%88%EA%B3%A0%EA%B8%B0
27,Amsa,팔오수산,55,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=1550286600&query=%ED%8C%94%EC%98%A4%EC%88%98%EC%82%B0
28,Amsa,The라김,54,종합분식,https://store.naver.com/restaurants/detail?entry=ple&id=1922816183&query=The%EB%9D%BC%EA%B9%80
29,Amsa,애월집,54,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=37996946&query=%EC%95%A0%EC%9B%94%EC%A7%91
30,Amsa,카페오늘,52,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1777727682&query=%EC%B9%B4%ED%8E%98%EC%98%A4%EB%8A%98
31,Amsa,임오우렁쌈밥선사점,52,쌈밥,https://store.naver.com/restaurants/detail?entry=ple&id=21080689&query=%EC%9E%84%EC%98%A4%EC%9A%B0%EB%A0%81%EC%8C%88%EB%B0%A5%EC%84%A0%EC%82%AC%EC%A0%90
32,Amsa,강천민물장어,51,한식,https://store.naver.com/restaurants/detail?entry=ple&id=18905396&query=%EA%B0%95%EC%B2%9C%EB%AF%BC%EB%AC%BC%EC%9E%A5%EC%96%B4
33,Amsa,족발야시장 암사점,50,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=1478013569&query=%EC%A1%B1%EB%B0%9C%EC%95%BC%EC%8B%9C%EC%9E%A5%20%EC%95%94%EC%82%AC%EC%A0%90
34,Amsa,동경규동 암사점,49,덮밥,https://store.naver.com/restaurants/detail?entry=ple&id=1742487590&query=%EB%8F%99%EA%B2%BD%EA%B7%9C%EB%8F%99%20%EC%95%94%EC%82%AC%EC%A0%90
35,Amsa,지호한방삼계탕 암사점,49,"백숙,삼계탕",https://store.naver.com/restaurants/detail?entry=ple&id=12958761&query=%EC%A7%80%ED%98%B8%ED%95%9C%EB%B0%A9%EC%82%BC%EA%B3%84%ED%83%95%20%EC%95%94%EC%82%AC%EC%A0%90
36,Amsa,명륜진사갈비 서울암사점,46,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1692743923&query=%EB%AA%85%EB%A5%9C%EC%A7%84%EC%82%AC%EA%B0%88%EB%B9%84%20%EC%84%9C%EC%9A%B8%EC%95%94%EC%82%AC%EC%A0%90
37,Amsa,나주곰탕,46,"곰탕,설렁탕",https://store.naver.com/restaurants/detail?entry=ple&id=37216949&query=%EB%82%98%EC%A3%BC%EA%B3%B0%ED%83%95
38,Amsa,피자꾼 천호점,42,피자,https://store.naver.com/restaurants/detail?entry=ple&id=37038883&query=%ED%94%BC%EC%9E%90%EA%BE%BC%20%EC%B2%9C%ED%98%B8%EC%A0%90
39,Amsa,방이샤브샤브칼국수 암사점,41,샤브샤브,https://store.naver.com/restaurants/detail?entry=ple&id=38623986&query=%EB%B0%A9%EC%9D%B4%EC%83%A4%EB%B8%8C%EC%83%A4%EB%B8%8C%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%95%94%EC%82%AC%EC%A0%90
40,Amsa,무아지돈,41,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1474996987&query=%EB%AC%B4%EC%95%84%EC%A7%80%EB%8F%88
41,Amsa,60계 암사선사점,41,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=37837606&query=60%EA%B3%84%20%EC%95%94%EC%82%AC%EC%84%A0%EC%82%AC%EC%A0%90
42,Amsa,육광숙성삼겹살묵은지찜찌개,39,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1435106558&query=%EC%9C%A1%EA%B4%91%EC%88%99%EC%84%B1%EC%82%BC%EA%B2%B9%EC%82%B4%EB%AC%B5%EC%9D%80%EC%A7%80%EC%B0%9C%EC%B0%8C%EA%B0%9C
43,Amsa,버거팜,38,햄버거,https://store.naver.com/restaurants/detail?entry=ple&id=1739798220&query=%EB%B2%84%EA%B1%B0%ED%8C%9C
44,Amsa,쭈꾸미아지매,39,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=1291750908&query=%EC%AD%88%EA%BE%B8%EB%AF%B8%EC%95%84%EC%A7%80%EB%A7%A4
45,Amsa,스윗문문,38,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=1096932003&query=%EC%8A%A4%EC%9C%97%EB%AC%B8%EB%AC%B8
46,Amsa,인생닭강정,38,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=1422099149&query=%EC%9D%B8%EC%83%9D%EB%8B%AD%EA%B0%95%EC%A0%95
47,Amsa,암사족발,38,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=31025840&query=%EC%95%94%EC%82%AC%EC%A1%B1%EB%B0%9C
